time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,eval/mean_reward,eval/mean_ep_length,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
4,15,-10.0,2.0,8,0,,,,,,
8,41,3.3001753750000002,2.625,21,0,,,,,,
12,60,13.830521416666665,2.9166666666666665,35,0,,,,,,
,,,,40,,-20.0,4.0,,,,
16,104,7.8728910625,2.6875,43,0,,,,,,
20,117,4.54831285,2.5,50,0,,,,,,
24,142,2.2543785,2.5416666666666665,61,0,,,,,,
28,160,1.2193916785714285,2.5357142857142856,71,0,,,,,,
,,,,80,,97.30503845214844,4.0,,,,
32,205,7.0168893125,2.625,84,0,,,,,,
36,222,4.987234944444444,2.5833333333333335,93,0,,,,,,
40,246,2.9885114500000003,2.625,105,0,,,,,,
44,260,1.9213740454545458,2.5454545454545454,112,0,,,277.6153564453125,11,0.7250877618789673,0.001
,,,,120,,-20.0,4.0,37.564090728759766,17,0.629666805267334,0.001
48,365,0.7195928750000004,2.5416666666666665,122,0,,,,,,
52,454,-0.09202976923076893,2.5384615384615383,132,0,,,27.514096450805663,31,1.2002252340316772,0.001
56,467,-0.26028930357142815,2.4464285714285716,137,0,,,20.848875045776367,36,1.7435238361358643,0.001
60,488,2.1066722500000004,2.533333333333333,152,0,,,586.5768545150756,48,2.197925845781962,0.001
,,,,160,,160.7775239944458,5.0,527.0928859710693,56,1.493439793586731,0.001
64,540,6.830620140625,2.578125,165,0,,,639.4788818359375,62,0.6812728643417358,0.001
68,553,8.514844779411765,2.5588235294117645,174,0,,,2211.929931640625,73,-0.5241992175579071,0.001
72,572,10.837771569444445,2.5833333333333335,186,0,,,1199.343017578125,83,-1.397303819656372,0.001
76,583,11.145300197368421,2.513157894736842,191,0,,,2906.766845703125,90,-2.497460126876831,0.001
80,600,10.338035187500001,2.4375,195,0,,,2821.37939453125,94,-2.9655094146728516,0.001
84,610,9.60765255952381,2.369047619047619,199,0,,,624.4189453125,98,-4.0145745277404785,0.001
,,,,200,,-10.0,2.0,617.4254150390625,99,,0.001
88,685,8.830031988636364,2.3295454545454546,205,0,,,218.86940002441406,104,-4.790653228759766,0.001
92,703,8.22872625,2.2717391304347827,209,0,,,2482.71826171875,108,-5.393446922302246,0.001
96,716,7.677529322916667,2.21875,213,0,,,2786.246826171875,112,-6.495057582855225,0.001
100,735,7.02042815,2.2,220,0,,,1012.6796264648438,119,-6.658880710601807,0.001
104,749,7.17042815,2.17,225,0,,,271.33197021484375,123,-6.631313323974609,0.001
108,762,6.3064141199999995,2.08,229,0,,,277.7840270996094,128,-6.4281816482543945,0.001
112,775,4.56076558,2.01,236,0,,,219.9945297241211,134,-5.243463039398193,0.001
,,,,240,,-10.0,2.0,179.40328979492188,138,-4.927524089813232,0.001
116,875,4.66076558,1.99,242,0,,,156.9959716796875,141,-3.8080062866210938,0.001
120,884,4.76076558,1.97,247,0,,,123.8720703125,145,-3.091184377670288,0.001
124,898,4.92937731,1.9,251,0,,,73.26872253417969,150,-1.6447639465332031,0.001
128,909,4.928998480000001,1.84,255,0,,,74.97521209716797,154,-1.9983484745025635,0.001
132,920,2.7750235699999997,1.76,260,0,,,53.860084533691406,158,-1.2054370641708374,0.001
136,934,3.9208597699999994,1.73,266,0,,,53.35386657714844,164,-1.4315487146377563,0.001
140,946,4.27085977,1.66,271,0,,,34.41523361206055,170,-0.4244084358215332,0.001
144,958,4.37085977,1.64,276,0,,,42.2613525390625,174,-1.0126832723617554,0.001
,,,,280,,-10.0,2.0,34.219215393066406,179,-0.3230759799480438,0.001
148,987,4.62085977,1.59,281,0,,,,,,
152,999,4.7141198300000005,1.55,287,0,,,24.606075286865234,185,1.1829992532730103,0.001
156,1011,4.56202636,1.55,292,0,,,17.977317810058594,191,0.06755547225475311,0.001
160,1023,2.9022609999999998,1.45,297,0,,,15.608973026275635,196,1.396464228630066,0.001
164,1035,-0.5053325400000002,1.38,303,0,,,18.77606201171875,201,0.7093710899353027,0.001
168,1100,-2.1238301,1.33,307,0,,,14.33253002166748,206,1.4925727844238281,0.001
172,1112,-4.43693118,1.27,313,0,,,13.072598457336426,211,2.4805846214294434,0.001
,,,,320,,-10.0,2.0,6.185000896453857,218,2.5514488220214844,0.001
176,1143,-5.4541638,1.29,320,0,,,,,,
180,1150,-5.4541638,1.29,324,0,,,3.8340978622436523,223,3.486920118331909,0.001
184,1160,-5.5041638,1.3,329,0,,,2.824951648712158,228,5.4730095863342285,0.001
188,1172,-5.4541638,1.29,334,0,,,2.2092628479003906,233,4.144412517547607,0.001
192,1182,-5.5541638,1.31,340,0,,,2.1337130069732666,238,5.364893436431885,0.001
196,1201,-5.7041638,1.34,347,0,,,0.482697069644928,245,5.4565653800964355,0.001
200,1211,-5.6041638,1.32,352,0,,,0.7924351543188095,251,5.088914394378662,0.001
204,1221,-5.6041638,1.32,357,0,,,0.614952951669693,256,4.492593765258789,0.001
,,,,360,,-10.0,2.0,0.6715447902679443,259,4.326339244842529,0.001
208,1252,-5.6541638,1.33,362,0,,,0.5854508280754089,261,5.033148288726807,0.001
212,1261,-5.5041638,1.3,366,0,,,1.0621631145477295,265,4.898238658905029,0.001
216,1269,-5.357747900000001,1.29,371,0,,,0.6878703236579895,270,4.780911922454834,0.001
220,1288,-5.707747899999999,1.36,383,0,,,0.4268323481082916,278,4.383313179016113,0.001
,,,,400,,-25.0,5.0,2.8376380443572997,298,4.452957630157471,0.001
224,1344,-6.507747899999999,1.52,403,0,,,,,,
228,1365,-7.1077479,1.64,419,0,,,1.1467770993709565,314,4.309399922688802,0.001
232,1392,-7.646775049999999,1.77,437,0,,,3.018797516822815,332,3.3751675287882485,0.001
,,,,440,,-10.0,2.0,2.9261577129364014,339,3.264730215072632,0.001
236,1896,-9.19261125,1.88,454,0,,,6.734122395515442,349,3.064016580581665,0.001
240,1923,-9.94261125,2.03,474,0,,,6.879659673571586,369,4.971360445022583,0.001
,,,,480,,-25.0,5.0,1.019975048303604,379,4.356472969055176,0.001
244,1977,-10.49261125,2.14,490,0,,,0.559930682182312,385,4.885380744934082,0.001
248,2000,-11.04261125,2.25,506,0,,,1.1511362791061401,401,5.0271064440409345,0.001
252,2019,-11.34261125,2.31,518,0,,,0.25805896520614624,413,5.083646297454834,0.001
,,,,520,,-25.0,5.0,1.6213438510894775,419,5.080434640248616,0.001
256,2072,-11.69261125,2.38,530,0,,,0.5262936145067215,429,5.239847660064697,0.001
260,2088,-11.84261125,2.41,538,0,,,0.2663121819496155,433,5.246809482574463,0.001
264,2190,-12.14261125,2.47,550,0,,,0.38418540358543396,445,5.217006683349609,0.001
,,,,560,,-25.0,5.0,0.24902448058128357,457,5.170258522033691,0.001
268,2315,-12.54261125,2.55,562,0,,,,,,
272,2330,-12.84261125,2.61,574,0,,,0.40748616456985476,473,5.485082149505615,0.001
276,2350,-12.99261125,2.64,584,0,,,0.8139439776539803,483,5.253439903259277,0.001
280,2362,-13.19261125,2.68,592,0,,,2.809182643890381,491,5.565073013305664,0.001
,,,,600,,-25.0,5.0,1.2471086978912354,498,4.925500869750977,0.001
284,2414,-13.74261125,2.79,608,0,,,3.393736982345581,503,4.422507047653198,0.001
288,2433,-14.29261125,2.9,624,0,,,9.721407890319824,519,4.775050401687622,0.001
,,,,640,,-25.0,5.0,7.120815086364746,535,5.008150815963745,0.001
292,2480,-14.79261125,3.0,640,0,,,,,,
296,2496,-15.04261125,3.05,652,0,,,2.4254714965820314,551,4.944929361343384,0.001
300,2511,-15.34261125,3.11,663,0,,,2.557045300801595,562,4.545353651046753,0.001
,,,,680,,-25.0,5.0,10.094696807861329,578,5.803101142247518,0.001
304,2565,-16.09261125,3.26,683,0,,,,,,
308,2580,-16.44261125,3.33,695,0,,,2.7989211082458496,594,6.664776802062988,0.001
312,2604,-17.04261125,3.45,711,0,,,4.353699684143066,610,6.692181428273519,0.001
,,,,720,,-25.0,5.0,5.709509801864624,616,6.527356306711833,0.001
316,2650,-17.68902715,3.56,727,0,,,7.398308849334716,626,6.818727811177571,0.001
320,2677,-18.08902715,3.64,747,0,,,5.699159288406372,642,7.292841752370198,0.001
,,,,760,,-25.0,5.0,4.744447672367096,657,8.067673206329346,0.001
324,2733,-18.08902715,3.64,767,0,,,8.794855403900147,662,8.091101010640463,0.001
