time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/n_updates,train/value_loss,train/approx_kl,train/entropy_loss,train/loss,train/std,train/learning_rate,train/explained_variance,train/clip_range,train/clip_fraction
40,3.1584606170654297,5.0,,,,,,,,,,,,,,,,
40,,,0,120,1,0.9882095624999994,2.4375,,,,,,,,,,,
80,39.10780334472656,3.0,,,,,,-0.018682282544832562,10,494.73547546863557,0.017255282,-4.259637951850891,95.28641510009766,1.0002765655517578,0.0003,-0.001686692237854004,0.2,0.2500000050291419
80,,,0,187,2,2.27153825,2.2222222222222223,,,,,,,,,,,
120,18.316020965576172,5.0,,,,,,-0.007638152933532183,20,627.2485617637634,0.008045475,-4.257236069440841,36.48420333862305,0.9995006322860718,0.0003,-0.0011576414108276367,0.2,0.042500000633299354
120,,,0,296,3,4.080293039215686,2.2745098039215685,,,,,,,,,,,
160,-5.0,1.0,,,,,,-0.0016791909032690456,30,519.2020669221878,0.0035980432,-4.255602240562439,170.505859375,0.9989733695983887,0.0003,0.001016855239868164,0.2,0.007500000111758709
160,,,0,468,4,5.5914948219178084,2.191780821917808,,,,,,,,,,,
200,-20.181723728775978,5.0,,,,,,-0.02082705420369164,40,912.7035580396653,0.03551804,-4.249640536308289,42.11896514892578,0.9964572787284851,0.0003,0.000933229923248291,0.2,0.3000000068917871
200,,,0,536,5,3.962616144444444,2.2,,,,,,,,,,,
240,-10.0,2.0,,,,,,-0.020117125076212706,50,142.39587973356248,0.029514385,-4.242762887477875,9.378097534179688,0.9955222606658936,0.0003,0.005639970302581787,0.2,0.2125000048428774
240,,,0,625,6,2.14262624,2.11,,,,,,,,,,,
280,16.92628765106201,4.0,,,,,,-0.033557180284983626,60,83.88508257865905,0.03180735,-4.234073036909104,116.13316345214844,0.9913737773895264,0.0003,-0.008663654327392578,0.2,0.4800000101327896
280,,,0,687,7,2.8672864899999997,2.22,,,,,,,,,,,
320,64.32419300079346,5.0,,,,,,-0.01440296342305374,70,282.8160573720932,0.030311909,-4.2307569742202755,240.25291442871094,0.9925585985183716,0.0003,0.022031188011169434,0.2,0.33000000696629284
320,,,0,746,8,2.6289314700000004,2.33,,,,,,,,,,,
360,102.14249801635742,5.0,,,,,,-0.0180380716919899,80,630.6760999560356,0.017584417,-4.226767265796662,23.595020294189453,0.9883284568786621,0.0003,0.01608097553253174,0.2,0.2800000060349703
360,,,0,800,9,2.92603746,2.28,,,,,,,,,,,
400,30.5916907787323,3.0,,,,,,0.0014106103497033451,90,1350.3930300712586,0.0018695816,-4.216218334436417,1035.927978515625,0.9860250353813171,0.0003,-0.009001374244689941,0.2,0.0800000011920929
400,,,0,889,10,3.74594962,2.32,,,,,,,,,,,
440,-10.0,2.0,,,,,,-0.030622507700754798,100,787.9653814077377,0.03428094,-4.21403666138649,38.835933685302734,0.9862667918205261,0.0003,0.002630949020385742,0.2,0.30500000696629287
440,,,0,943,11,9.692762,2.36,,,,,,,,,,,
480,-0.8206081390380859,5.0,,,,,,-0.018995721067622075,110,3801.437444806099,0.018970903,-4.213837885856629,628.2951049804688,0.9858855605125427,0.0003,0.0018303990364074707,0.2,0.1875000039115548
480,,,0,998,12,14.798277300000002,2.48,,,,,,,,,,,
520,38.90276336669922,3.0,,,,,,-0.005845791034480496,120,3180.1581749916077,0.023929305,-4.213520967960358,901.4689331054688,0.9861778616905212,0.0003,0.0016289949417114258,0.2,0.22000000420957805
520,,,0,1045,13,16.46042507,2.51,,,,,,,,,,,
560,58.000128984451294,5.0,,,,,,-0.015669140723321106,130,2005.022659111023,0.0101319,-4.2115697205066684,1972.024658203125,0.9845570921897888,0.0003,0.00010728836059570312,0.2,0.19750000406056642
560,,,0,1095,14,19.447216140000002,2.48,,,,,,,,,,,
600,4.099061965942383,3.0,,,,,,-0.021106760064249098,140,1616.5068088531493,0.021000855,-4.205295699834823,88.20030212402344,0.982323408126831,0.0003,-0.025502920150756836,0.2,0.20250000432133675
600,,,0,1148,15,21.639904860000005,2.57,,,,,,,,,,,
640,49.888545989990234,3.0,,,,,,-0.023169819394788637,150,2172.3942556381226,0.019183975,-4.200316429138184,364.9291076660156,0.9815301895141602,0.0003,0.008512377738952637,0.2,0.22000000402331352
640,,,0,1210,16,20.04986037,2.53,,,,,,,,,,,
