time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/loss,eval/mean_reward,train/n_updates,eval/mean_ep_length,train/explained_variance,train/std,train/clip_range,train/entropy_loss
80,130,0.6205987586206894,1,0,2.6206896551724137,,,,,,,,,,,,,
100,,,,,,948.1099550664425,0.0289591,-0.040947186075609356,0.0003,0.2962500064633787,13.372171401977539,32.89041543006897,10,5.0,-0.001750349998474121,0.9972504377365112,0.2,-4.252071285247803
160,280,3.4777306964285715,2,0,2.8035714285714284,,,,,,,,,,,,,
200,,,,,,712.427414804697,0.029603964,-0.037329265444350314,0.0003,0.40250000953674314,98.33184051513672,8.905656337738037,20,4.0,0.0012784600257873535,0.983578085899353,0.2,-4.225958314538002
240,323,8.004453234567901,3,0,2.9382716049382718,,,,,,,,,,,,,
300,,,,,,1600.2122850179671,0.017890647,-0.024775722401244593,0.0003,0.30375000750646,778.0735473632812,50.135719776153564,30,5.0,0.003962457180023193,0.9867720007896423,0.2,-4.212934008240699
320,364,13.7295796,4,0,3.07,,,,,,,,,,,,,
400,,,,,,1107.92228140831,0.012400328,-0.019123076521209443,0.0003,0.08500000135973096,886.3404541015625,150.3940372467041,40,5.0,-0.006831645965576172,0.9843699932098389,0.2,-4.2128368496894835
400,524,23.266440700000004,5,0,3.08,,,,,,,,,,,,,
480,857,28.91190455,6,0,3.15,3134.304961299896,0.022748765,-0.04058737332943565,0.0003,0.1962500037625432,1159.59716796875,,50,,-0.01992940902709961,0.9847232699394226,0.2,-4.209470131993294
500,,,,,,951.9611542224884,0.012758583,-0.014093055874195671,0.0003,0.12125000236555934,563.3176879882812,98.38570308685303,60,5.0,-0.02112293243408203,0.9817997813224792,0.2,-4.206551977992058
560,1702,33.278164000000004,7,0,3.06,,,,,,,,,,,,,
600,,,,,,2393.094304895401,0.012057742,-0.021315638511368883,0.0003,0.1125000019557774,1181.2860107421875,152.54601097106934,70,5.0,-0.03866684436798096,0.9817094206809998,0.2,-4.201309141516686
640,2001,42.43567805000001,8,0,3.12,,,,,,,,,,,,,
700,,,,,,3357.252923965454,0.017110573,-0.023718812695769885,0.0003,0.24125000461935997,2081.9345703125,72.97420310974121,80,4.0,-0.03179776668548584,0.9810065031051636,0.2,-4.201003885269165
720,2751,54.60316584999999,9,0,3.3,,,,,,,,,,,,,
800,,,,,,5445.199443817139,0.016303338,-0.015711283181480563,0.0003,0.08375000152736903,1241.0760498046875,184.9995175898075,90,5.0,-0.021970391273498535,0.9802857637405396,0.2,-4.198065549135208
800,2788,64.57394567,10,0,3.24,,,,,,,,,,,,,
880,2822,73.00929002,11,0,3.33,4827.659494781494,0.009787422,-0.013729962737277201,0.0003,0.10750000160187483,1391.2288818359375,,100,,-0.014142870903015137,0.9790539741516113,0.2,-4.1948145002126696
900,,,,,,5512.780459594726,0.0047823116,-0.0037561040464379413,0.0003,0.06500000124797226,1187.6964111328125,-5.0,110,1.0,-0.020427823066711426,0.9782487750053406,0.2,-4.192594128847122
960,2863,76.22392236,12,0,3.4,,,,,,,,,,,,,
1000,,,,,,3656.309704589844,0.014772039,-0.014754135729388052,0.0003,0.06875000111758708,880.8667602539062,237.93060493469238,120,5.0,-0.04141736030578613,0.97735995054245,0.2,-4.189413660764695
1040,2953,74.51741349000001,13,0,3.41,,,,,,,,,,,,,
1100,,,,,,4433.41381149292,0.023232073,-0.01571998046287263,0.0003,0.16250000344589352,1424.5968017578125,-5.0,130,1.0,-0.042395591735839844,0.9747325778007507,0.2,-4.183933898806572
1120,3078,79.03020492,14,0,3.54,,,,,,,,,,,,,
1200,,,,,,3867.4233337402343,0.023761127,-0.051912501731458185,0.0003,0.2987500068731606,2586.58544921875,-5.0,140,1.0,0.0035886168479919434,0.9722840785980225,0.2,-4.1757591485977175
1200,3879,70.69680591000001,15,0,3.39,,,,,,,,,,,,,
1280,4383,76.17009556,16,0,3.42,4878.991244125366,0.012825787,-0.021447181672028838,0.0003,0.1250000024214387,1297.8070068359375,,150,,-0.08935976028442383,0.9696305990219116,0.2,-4.168281161785126
1300,,,,,,4540.831257247924,0.013127465,-0.0062898485103323855,0.0003,0.1100000019185245,3277.58544921875,168.86435317993164,160,5.0,0.04490101337432861,0.9714740514755249,0.2,-4.167062720656395
1360,4417,87.60699367,17,0,3.43,,,,,,,,,,,,,
1400,,,,,,7289.835799503327,0.020991325,-0.027191623784092366,0.0003,0.1487500029616058,4491.3369140625,42.48386096954346,170,3.0,-3.981590270996094e-05,0.9713798761367798,0.2,-4.170355296134948
1440,4713,88.55295469000002,18,0,3.38,,,,,,,,,,,,,
