time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/std,train/explained_variance,train/approx_kl,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/loss,train/clip_range
1,603,2.8,56.95383997,320,0,,,,,,,,,,,
2,756,2.9,65.1932984,640,0,0.9902640581130981,-0.003010392189025879,0.0076141674,0.0003,10,-4.242207941412926,-0.003526712480143035,0.07031250155996531,5208.102635192871,3452.624267578125,0.2
3,907,2.77,59.973460519999996,960,1,0.9898346662521362,-0.0065468549728393555,0.016727902,0.0003,20,-4.228835237026215,0.003962170060021891,0.2375000037951395,5071.309964752198,3123.47900390625,0.2
4,1566,2.83,58.368961969999994,1280,0,0.9854617118835449,-0.008510708808898926,0.003537172,0.0003,30,-4.219920119643211,-0.0002641987907099963,0.1000000019557774,5001.567455291748,3853.739501953125,0.2
5,1803,2.62,53.08985228,1600,0,0.9851258993148804,0.0038153529167175293,0.012160385,0.0003,40,-4.211933562159539,9.767543291673008e-05,0.16000000254716723,5016.3528480529785,1043.0902099609375,0.2
6,2045,2.48,49.38047614,1920,0,0.9861556887626648,-0.007260560989379883,0.012493535,0.0003,50,-4.212991032004356,0.0019989650970643424,0.13187500240746886,3705.9540313720704,1853.818603515625,0.2
7,2466,2.92,72.18436127000001,2240,0,0.9833647012710571,0.008036315441131592,0.004583248,0.0003,60,-4.212262621521949,0.0005670555473625425,0.09000000155065209,4039.2040473937986,2475.339111328125,0.2
8,2705,2.41,45.812871750000006,2560,0,0.9798891544342041,-0.0010955333709716797,0.012554809,0.0003,70,-4.1994068890810015,-0.01069932159883591,0.09656250209081918,10739.85806427002,3491.7265625,0.2
9,2910,2.86,65.4187474,2880,0,0.9748925566673279,-0.009012103080749512,0.0053810338,0.0003,80,-4.188916650414467,-0.0009262884153554308,0.03218750066589564,5508.998461151123,5441.986328125,0.2
10,3317,2.68,60.42906959000001,3200,0,0.9751774668693542,-0.0006852149963378906,0.028249746,0.0003,90,-4.178533840179443,0.001918147792641775,0.09312500194646418,6771.188209533691,1773.6842041015625,0.2
11,4059,2.55,56.55927390000001,3520,0,0.9710442423820496,-0.001614212989807129,0.023634166,0.0003,100,-4.1753864079713825,-0.009857559590864184,0.1537500023143366,6278.351822662354,1193.7603759765625,0.2
12,4341,2.93,69.39363407,3840,0,0.9721697568893433,-0.016075491905212402,0.009123212,0.0003,110,-4.168427288532257,-0.005485227915962128,0.15062500254716724,6704.229365539551,2891.98095703125,0.2
13,4646,2.9,73.11298092,4160,0,0.9706029295921326,0.0011186599731445312,0.018921975,0.0003,120,-4.168870487809182,0.0035284464605047083,0.11468750154599547,4293.196170043945,2871.5400390625,0.2
14,5022,2.74,60.980404099999994,4480,0,0.9662839770317078,0.0076882243156433105,0.01145731,0.0003,130,-4.161161971092224,-0.0031025339877669422,0.11812500231899321,6946.1641098022465,1868.595458984375,0.2
15,5312,2.75,62.452893589999995,4800,0,0.964754045009613,0.0016965866088867188,0.007936354,0.0003,140,-4.15214783847332,0.000922075273656442,0.1331250023562461,5588.821267700196,2406.528564453125,0.2
16,5679,2.87,71.93511928,5120,0,0.9631139039993286,0.01078188419342041,0.009692397,0.0003,150,-4.146925389766693,-0.008769084812875009,0.15125000246334822,6914.80719833374,3636.65478515625,0.2
17,5927,2.91,75.26409654000001,5440,0,0.9618186354637146,0.017689049243927002,0.008339133,0.0003,160,-4.140714386105538,-0.007266138566410518,0.06062500139232725,7622.068579101562,4173.41650390625,0.2
18,6172,3.2,86.19366811,5760,0,0.9608932733535767,-0.018162846565246582,0.0056362837,0.0003,170,-4.137062335014344,-0.007712081928038961,0.1359375024214387,7096.239254760742,4070.032958984375,0.2
19,6580,2.46,54.22916372999998,6080,0,0.9564411044120789,-0.01921534538269043,0.020951118,0.0003,180,-4.130952769517899,0.0018100403839071077,0.1331250020302832,10441.045767211914,4527.88916015625,0.2
20,6950,2.51,62.95268838,6400,0,0.9543096423149109,0.021282553672790527,0.0078103356,0.0003,190,-4.116922044754029,-0.009924393003348086,0.08593750165309758,5636.523481750488,1483.9669189453125,0.2
21,7322,2.83,72.26413873999999,6720,0,0.9493395686149597,0.0009534358978271484,0.0065505635,0.0003,200,-4.109096884727478,-0.006071743093416443,0.16000000354833901,6701.636946105957,1743.782470703125,0.2
22,7728,2.56,55.899280340000004,7040,0,0.9474327564239502,-0.007700324058532715,0.010013711,0.0003,210,-4.0965345948934555,-0.004124694084157454,0.11125000196043403,8203.46646118164,2830.721923828125,0.2
23,8035,2.71,63.3603378,7360,0,0.9441045522689819,0.02261483669281006,0.011513677,0.0003,220,-4.088383507728577,-0.0031765052411083182,0.05093750087544322,4256.45853805542,1947.5281982421875,0.2
