rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,train/value_loss,train/policy_gradient_loss,train/std,train/n_updates,train/explained_variance,train/entropy_loss,train/approx_kl
9.0,157,320,1,10.12798937142857,2,,,,,,,,,,,
8.666666666666666,470,640,2,30.527660944444442,1,0.33937500487081707,0.0003,0.2,2278.209228515625,3852.657046318054,-0.03240373825864964,0.9925982356071472,10,-0.003786921501159668,-4.246602195501327,0.02771533
8.38,549,960,3,54.10873984,1,0.24312500378582627,0.0003,0.2,1091.404052734375,5400.258396911621,-0.025448260770383514,0.9901358485221863,20,0.0040607452392578125,-4.230117216706276,0.01831431
7.43,651,1280,4,86.15246130000001,1,0.16625000226777048,0.0003,0.2,4037.63232421875,14733.50422821045,-0.02226540564200974,0.990416407585144,30,-0.0020192861557006836,-4.227315455675125,0.015612638
6.46,800,1600,5,96.93235160000002,1,0.05406250117812306,0.0003,0.2,13618.1796875,16895.348333740236,-0.01345155852318385,0.9911561012268066,40,-3.2782554626464844e-05,-4.228579846024513,0.0100737205
6.42,920,1920,6,98.0129533,2,0.09187500129919499,0.0003,0.2,6270.96240234375,10433.47077484131,-0.008314919943566678,0.9906262159347534,50,0.027087748050689697,-4.229588824510574,0.0045915158
5.7,1013,2240,7,97.62510326,2,0.07906250169035048,0.0003,0.2,5748.93994140625,16189.4547454834,-0.006718187085590443,0.9881043434143066,60,0.004931449890136719,-4.224875885248184,0.0057428544
5.95,1124,2560,8,120.51071078,2,0.038750000786967574,0.0003,0.2,9080.7255859375,14884.742837524414,-0.008740189943823395,0.9848628044128418,70,0.02297079563140869,-4.216028881072998,0.0063875206
6.31,1198,2880,9,132.82730645,2,0.07656250146683305,0.0003,0.2,5024.515625,11556.636782836915,-0.009869029555795805,0.9791416525840759,80,0.010640323162078857,-4.202983158826828,0.010946823
7.01,1272,3200,10,172.33657104000002,2,0.2606250043725595,0.0003,0.2,13641.3193359375,16658.310678100584,-0.024789754142011587,0.9791065454483032,90,0.017465591430664062,-4.193538299202919,0.018780543
6.8,1362,3520,11,173.88000183,2,0.05125000092666596,0.0003,0.2,19650.59375,32399.17237548828,-0.004704892924030446,0.9741169214248657,100,0.0012522339820861816,-4.185990944504738,0.012855422
6.75,1447,3840,12,176.7380639,2,0.13625000258907677,0.0003,0.2,16386.40234375,22685.190756225587,-0.011945739832913204,0.972733199596405,110,-0.012140035629272461,-4.175977647304535,0.005149942
7.07,1518,4160,13,193.93092297000004,2,0.1559375028591603,0.0003,0.2,17051.9296875,25124.218228149413,-0.006256663735484835,0.9664012789726257,120,-0.00023889541625976562,-4.165774917602539,0.005324521
6.94,1593,4480,14,187.05983335999997,2,0.14187500244006515,0.0003,0.2,29597.080078125,36690.63376464844,-0.0012037431944644794,0.9661749601364136,130,0.00677412748336792,-4.153989943861961,0.005263092
5.96,1701,4800,15,136.75587392,2,0.06343750103842467,0.0003,0.2,14062.6328125,26460.348864746094,-0.0024144324116662117,0.9694085121154785,140,0.023130416870117188,-4.157743921875953,0.00782557
6.46,1774,5120,16,153.49499565,2,0.12187500263098627,0.0003,0.2,4348.49267578125,18847.60858154297,-0.0050486987086458155,0.968082070350647,150,-0.038991332054138184,-4.162780374288559,0.02939399
6.95,1887,5440,17,175.38440469,2,0.07531250165775419,0.0003,0.2,10280.294921875,21624.35160522461,-0.009498009230424032,0.9627203941345215,160,0.03218662738800049,-4.151351311802864,0.008224117
6.62,1982,5760,18,162.41414214,2,0.05718750117812306,0.0003,0.2,12191.326171875,18169.967489624025,-0.0013682440164487276,0.9613134264945984,170,-0.008377671241760254,-4.139556974172592,0.0033507994
6.43,2058,6080,19,153.371489,2,0.13562500246334822,0.0003,0.2,10153.7724609375,18368.945123291014,-0.009590854869416887,0.9564892649650574,180,0.026705265045166016,-4.130485269427299,0.006056103
6.96,2127,6400,20,176.74551307,3,0.0443750009406358,0.0003,0.2,5838.97265625,14110.136587524414,-0.003334602056128233,0.9496774077415466,190,0.027615010738372803,-4.112020221352577,0.0022909807
7.48,2201,6720,21,207.38029951999997,3,0.12250000201165676,0.0003,0.2,14790.0185546875,24547.57350769043,-0.00808385917501937,0.9466106295585632,200,-0.028789877891540527,-4.09836855828762,0.01218744
6.97,2281,7040,22,192.7747063,3,0.06281250142492353,0.0003,0.2,17285.611328125,32440.442504882812,-0.009813925752951036,0.9431762099266052,210,0.04181915521621704,-4.086403727531433,0.0042859735
6.26,2474,7360,23,175.66327203,2,0.08593750149011611,0.0003,0.2,8194.076171875,25880.2947265625,-0.0039760325881900375,0.9405860900878906,220,-0.0020064115524291992,-4.076729169487953,0.0070842844
6.3,2551,7680,24,186.56468689000002,3,0.16406250288709998,0.0003,0.2,17601.625,25989.840631103514,-0.0030381427902284484,0.9345561861991882,230,-0.01923990249633789,-4.06538165807724,0.014109198
6.62,2645,8000,25,187.60948671000003,3,0.06375000101979822,0.0003,0.2,14724.1123046875,31878.441662597656,-0.00411394283212303,0.9333159327507019,240,-0.006821990013122559,-4.052171051502228,0.0022378536
7.59,2752,8320,26,229.35419555999997,3,0.16937500247731804,0.0003,0.2,6611.52783203125,21647.73551635742,-0.005840995703158569,0.9350767135620117,250,-0.0969085693359375,-4.051015543937683,0.019381814
