eval/mean_ep_length,eval/mean_reward,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/std,train/clip_fraction,train/clip_range,train/entropy_loss,train/value_loss,train/n_updates,train/learning_rate,train/loss
2.0,-9.9906644821167,100,,,,,,,,,,,,,,,,
7.0,-35.0,200,,,,,,,,,,,,,,,,
4.0,-13.018029928207397,300,,,,,,,,,,,,,,,,
,,320,1,8.121566894117647,3.588235294117647,552,0,,,,,,,,,,,
4.0,-6.827352523803711,400,,,,,,0.027038623,-0.03854823573827204,-0.00209653377532959,0.9944080710411072,0.3715625058859587,0.2,-4.249020251631737,3297.5460179805755,10,0.0003,1033.4517822265625
7.0,57.703558802604675,500,,,,,,,,,,,,,,,,
1.0,-5.0,600,,,,,,,,,,,,,,,,
,,640,2,33.56097343,4.25,854,0,,,,,,,,,,,
18.0,383.2443778514862,700,,,,,,0.01230444,-0.01912710452729698,0.001142740249633789,0.9947113990783691,0.1734375027474016,0.2,-4.240663596987725,15857.935872650147,20,0.0003,11278.1494140625
8.0,261.1275444030762,800,,,,,,,,,,,,,,,,
14.0,112.33610582351685,900,,,,,,,,,,,,,,,,
,,960,3,59.327904829999994,4.55,1061,0,,,,,,,,,,,
6.0,139.121826171875,1000,,,,,,0.008165298,-0.007945135220242604,-0.00628507137298584,0.9941661357879639,0.04625000113155693,0.2,-4.239994090795517,15871.986645507812,30,0.0003,10992.2294921875
5.0,12.216612132266164,1100,,,,,,,,,,,,,,,,
4.0,-19.093183040618896,1200,,,,,,,,,,,,,,,,
,,1280,4,43.48735782000001,3.71,1969,0,,,,,,,,,,,
14.0,213.71958446502686,1300,,,,,,0.015031058,-0.025917479333827487,-0.021817445755004883,0.986583411693573,0.2384375033667311,0.2,-4.22846417427063,7366.613938140869,40,0.0003,7146.9677734375
1.0,-5.0,1400,,,,,,,,,,,,,,,,
4.0,-20.0,1500,,,,,,,,,,,,,,,,
8.0,143.37114107608795,1600,,,,,,,,,,,,,,,,
,,1600,5,60.21012053999998,4.35,2472,0,,,,,,,,,,,
7.0,142.58545625209808,1700,,,,,,0.011444326,-0.015790528308062334,-0.0019916296005249023,0.9854381084442139,0.1915625034365803,0.2,-4.213978946208954,13998.772024536132,50,0.0003,3688.223388671875
3.0,24.27470326423645,1800,,,,,,,,,,,,,,,,
5.0,124.12775230407715,1900,,,,,,,,,,,,,,,,
,,1920,6,60.42860791000001,4.02,2963,0,,,,,,,,,,,
9.0,314.8233947753906,2000,,,,,,0.014478632,-0.02371402855963538,-0.024227499961853027,0.9815722703933716,0.2093750026775524,0.2,-4.206312817335129,10637.198678588868,60,0.0003,7019.9677734375
20.0,1096.0342245101929,2100,,,,,,,,,,,,,,,,
4.0,69.7016191482544,2200,,,,,,,,,,,,,,,,
,,2240,7,80.75911363,4.38,3379,0,,,,,,,,,,,
20.0,1015.49267411232,2300,,,,,,0.010464446,-0.015478427479541779,0.019974231719970703,0.9815105199813843,0.1056250021327287,0.2,-4.200462752580643,24087.06343688965,70,0.0003,13094.7392578125
14.0,430.6747832298279,2400,,,,,,,,,,,,,,,,
12.0,273.4391513168812,2500,,,,,,,,,,,,,,,,
,,2560,8,120.58309677999998,4.78,3545,0,,,,,,,,,,,
6.0,282.2024955749512,2600,,,,,,0.011299157,-0.013098827316281359,0.00037282705307006836,0.9814172983169556,0.06812500145751983,0.2,-4.200935405492783,35291.81698913574,80,0.0003,38507.2109375
12.0,576.9747514724731,2700,,,,,,,,,,,,,,,,
6.0,78.9479900598526,2800,,,,,,,,,,,,,,,,
,,2880,9,115.35726399,4.4,3771,0,,,,,,,,,,,
4.0,59.10741329193115,2900,,,,,,0.011913437,-0.01802607549758193,-0.006633162498474121,0.9788011312484741,0.09656250164844096,0.2,-4.197045287489891,27445.1788482666,90,0.0003,8188.3564453125
1.0,-5.0,3000,,,,,,,,,,,,,,,,
8.0,311.90159606933594,3100,,,,,,,,,,,,,,,,
10.0,410.029990196228,3200,,,,,,,,,,,,,,,,
,,3200,10,120.50939668999997,4.47,4051,0,,,,,,,,,,,
3.0,62.68127250671387,3300,,,,,,0.011850152,-0.016312301173798005,0.021178722381591797,0.9775463938713074,0.10312500214204193,0.2,-4.19063127040863,28505.821282958983,100,0.0003,20408.716796875
10.0,459.1895704269409,3400,,,,,,,,,,,,,,,,
3.0,15.523107528686523,3500,,,,,,,,,,,,,,,,
,,3520,11,142.09825786000002,5.03,4395,0,,,,,,,,,,,
4.0,28.722178429365158,3600,,,,,,0.004653123,-0.009703202910384335,-0.002909541130065918,0.9756512641906738,0.09187500185798854,0.2,-4.185096409916878,27179.50473022461,110,0.0003,16749.986328125
12.0,682.6737213134766,3700,,,,,,,,,,,,,,,,
10.0,382.5599536895752,3800,,,,,,,,,,,,,,,,
,,3840,12,132.67580166,4.61,4815,0,,,,,,,,,,,
7.0,317.2232894897461,3900,,,,,,0.007136891,-0.009912419685912255,-0.026659250259399414,0.973563551902771,0.06343750127125532,0.2,-4.179768908023834,21798.386602783205,120,0.0003,14267.1650390625
6.0,94.67397654056549,4000,,,,,,,,,,,,,,,,
7.0,307.26851415634155,4100,,,,,,,,,,,,,,,,
,,4160,13,139.84943872999997,4.83,5001,0,,,,,,,,,,,
9.0,387.68187618255615,4200,,,,,,0.009538608,-0.01211569124121752,-0.016189098358154297,0.9698796272277832,0.054375001089647414,0.2,-4.16938741505146,19249.587600708008,130,0.0003,9874.9462890625
6.0,187.9464569091797,4300,,,,,,,,,,,,,,,,
4.0,11.173538208007812,4400,,,,,,,,,,,,,,,,
,,4480,14,172.81379801,5.31,5411,0,,,,,,,,,,,
10.0,277.040958404541,4500,,,,,,0.01107469,-0.009368518498902745,0.015124499797821045,0.9677711725234985,0.09625000178348272,0.2,-4.16144009232521,31869.499993896483,140,0.0003,20369.81640625
10.0,587.6385650634766,4600,,,,,,,,,,,,,,,,
18.0,1076.3944725990295,4700,,,,,,,,,,,,,,,,
11.0,618.9936637878418,4800,,,,,,,,,,,,,,,,
,,4800,15,216.91925362,5.87,5562,0,,,,,,,,,,,
7.0,162.13702392578125,4900,,,,,,0.0035638711,-0.006196342719277936,0.005700409412384033,0.9664341807365417,0.021562500414438544,0.2,-4.156486731767655,42259.24061889648,150,0.0003,23606.15234375
2.0,24.73249053955078,5000,,,,,,,,,,,,,,,,
4.0,-20.0,5100,,,,,,,,,,,,,,,,
,,5120,16,196.08150740000005,5.54,5814,0,,,,,,,,,,,
18.0,1098.1791906356812,5200,,,,,,0.006927194,-0.008375152859889568,-0.008865594863891602,0.9654576182365417,0.11625000233761966,0.2,-4.153025180101395,24566.034185791017,160,0.0003,10129.91015625
12.0,761.485466003418,5300,,,,,,,,,,,,,,,,
9.0,452.0651798248291,5400,,,,,,,,,,,,,,,,
,,5440,17,196.28337885000002,5.65,5942,0,,,,,,,,,,,
6.0,122.7115318775177,5500,,,,,,0.011695502,-0.010204861730403535,0.01056903600692749,0.9627248644828796,0.06531250150874257,0.2,-4.147176611423492,50719.63776245117,170,0.0003,43297.42578125
12.0,455.2568941116333,5600,,,,,,,,,,,,,,,,
12.0,531.4968023300171,5700,,,,,,,,,,,,,,,,
,,5760,18,242.22563011,6.37,6161,0,,,,,,,,,,,
18.0,632.0101925134659,5800,,,,,,0.008415639,-0.010787845471668334,0.011760950088500977,0.9605182409286499,0.0975000016624108,0.2,-4.13928425014019,46563.42391357422,180,0.0003,23631.408203125
17.0,960.5939145088196,5900,,,,,,,,,,,,,,,,
12.0,481.29516887664795,6000,,,,,,,,,,,,,,,,
,,6080,19,255.54675303000005,6.5,6383,0,,,,,,,,,,,
8.0,275.08292388916016,6100,,,,,,0.005647978,-0.010398811205539005,0.005519688129425049,0.9596004486083984,0.07250000163912773,0.2,-4.1335313528776165,57976.165625,190,0.0003,30958.53515625
11.0,428.7447052001953,6200,,,,,,,,,,,,,,,,
9.0,433.1260452270508,6300,,,,,,,,,,,,,,,,
20.0,852.8538271188736,6400,,,,,,,,,,,,,,,,
,,6400,20,290.58585780000004,7.03,6573,0,,,,,,,,,,,
16.0,1036.5559062957764,6500,,,,,,0.010690371,-0.008808452924142784,-0.015888214111328125,0.9581961631774902,0.08562500127591192,0.2,-4.129980060458183,85671.90222167969,200,0.0003,47636.765625
20.0,1158.351408958435,6600,,,,,,,,,,,,,,,,
20.0,792.8326601982117,6700,,,,,,,,,,,,,,,,
,,6720,21,294.45575728999995,7.12,6764,0,,,,,,,,,,,
7.0,109.00498580932617,6800,,,,,,0.0077651534,-0.01378406381345485,-0.05023229122161865,0.9568957090377808,0.08906250165309756,0.2,-4.126123642921447,72904.87060546875,210,0.0003,46030.5859375
12.0,733.8116912841797,6900,,,,,,,,,,,,,,,,
6.0,121.47979837656021,7000,,,,,,,,,,,,,,,,
,,7040,22,281.87331103,6.97,6970,1,,,,,,,,,,,
2.0,8.743117332458496,7100,,,,,,0.004702612,-0.009478352963105863,-0.030663371086120605,0.954094409942627,0.03562500069383532,0.2,-4.120906487107277,43896.719689941405,220,0.0003,21921.58984375
17.0,833.9576568603516,7200,,,,,,,,,,,,,,,,
13.0,415.11667799949646,7300,,,,,,,,,,,,,,,,
,,7360,23,287.68947774000003,7.18,7095,1,,,,,,,,,,,
8.0,387.47904205322266,7400,,,,,,0.008756596,-0.008144246178744652,-0.012860536575317383,0.9507190585136414,0.11093750146683305,0.2,-4.10988135933876,64031.85541992188,230,0.0003,31250.583984375
8.0,329.0316867828369,7500,,,,,,,,,,,,,,,,
8.0,40.69004786014557,7600,,,,,,,,,,,,,,,,
,,7680,24,296.27134761,7.62,7219,1,,,,,,,,,,,
20.0,1022.0782117843628,7700,,,,,,0.008165324,-0.0037378823144649685,-0.012201309204101562,0.9481397867202759,0.0521875009406358,0.2,-4.100242868065834,60935.662536621094,240,0.0003,21069.390625
6.0,24.808250546455383,7800,,,,,,,,,,,,,,,,
16.0,894.345739364624,7900,,,,,,,,,,,,,,,,
7.0,253.70428276062012,8000,,,,,,,,,,,,,,,,
,,8000,25,353.5922805099999,8.55,7453,1,,,,,,,,,,,
7.0,173.04541969299316,8100,,,,,,0.0055554044,-0.00843919020381918,-0.004217386245727539,0.9447085857391357,0.033750000619329514,0.2,-4.090849986672401,73606.82686767579,250,0.0003,26741.29296875
10.0,690.9325313568115,8200,,,,,,,,,,,,,,,,
20.0,1014.7978115081787,8300,,,,,,,,,,,,,,,,
,,8320,26,381.59408791999994,8.62,7755,1,,,,,,,,,,,
4.0,142.44711685180664,8400,,,,,,0.004624976,-0.005634442887821933,-0.01440119743347168,0.9437341094017029,0.09062500197906047,0.2,-4.083786731958389,85039.63255615234,260,0.0003,61110.78125
20.0,1129.77170753479,8500,,,,,,,,,,,,,,,,
3.0,64.7903995513916,8600,,,,,,,,,,,,,,,,
,,8640,27,369.89210985000005,8.3,7947,1,,,,,,,,,,,
10.0,525.5954532623291,8700,,,,,,0.010051632,-0.009843696749362607,0.01793646812438965,0.9399811625480652,0.08656250187195838,0.2,-4.076426941156387,60203.71796875,270,0.0003,26244.408203125
20.0,926.5459666252136,8800,,,,,,,,,,,,,,,,
5.0,122.17753028869629,8900,,,,,,,,,,,,,,,,
,,8960,28,341.18770358,8.04,8059,1,,,,,,,,,,,
8.0,441.032190322876,9000,,,,,,0.014263552,-0.01649486829488538,-0.011566758155822754,0.9401853084564209,0.18156250272877514,0.2,-4.070585030317306,85199.14849853516,280,0.0003,27725.34375
20.0,1120.1002159118652,9100,,,,,,,,,,,,,,,,
6.0,293.3376350402832,9200,,,,,,,,,,,,,,,,
,,9280,29,364.71178008999993,8.29,8257,1,,,,,,,,,,,
8.0,278.2570662498474,9300,,,,,,0.009463878,-0.007457199826637862,-0.06807911396026611,0.9398907423019409,0.08250000162515789,0.2,-4.070593622326851,68803.66285400391,290,0.0003,39924.109375
14.0,1040.3545112609863,9400,,,,,,,,,,,,,,,,
16.0,723.7616958618164,9500,,,,,,,,,,,,,,,,
12.0,778.0710945129395,9600,,,,,,,,,,,,,,,,
,,9600,30,369.79937842000004,8.51,8397,1,,,,,,,,,,,
9.0,226.63431453704834,9700,,,,,,0.0124916425,-0.004756664010142231,-0.024711012840270996,0.9385425448417664,0.09531250209547579,0.2,-4.067056247591973,64012.28374023437,300,0.0003,32412.162109375
6.0,70.47492980957031,9800,,,,,,,,,,,,,,,,
20.0,1184.8709831237793,9900,,,,,,,,,,,,,,,,
,,9920,31,380.11438697000006,8.73,8518,1,,,,,,,,,,,
12.0,569.3616771697998,10000,,,,,,0.011963764,-0.011334626937127723,-0.02797532081604004,0.9358322620391846,0.11500000227242708,0.2,-4.061163294315338,69391.88640136718,310,0.0003,37646.98046875
18.0,959.3322448730469,10100,,,,,,,,,,,,,,,,
5.0,153.4946689605713,10200,,,,,,,,,,,,,,,,
,,10240,32,366.5807154799999,8.41,8664,1,,,,,,,,,,,
6.0,21.650909185409546,10300,,,,,,0.007995861,-0.014222876407075091,0.01528090238571167,0.9315906763076782,0.10375000224448741,0.2,-4.049552729725837,64075.931958007815,320,0.0003,22175.62890625
17.0,648.0774612426758,10400,,,,,,,,,,,,,,,,
17.0,479.61796474456787,10500,,,,,,,,,,,,,,,,
,,10560,33,388.55599166,9.01,8839,1,,,,,,,,,,,
20.0,1152.5037784576416,10600,,,,,,0.00690776,-0.007536515244930797,0.0009964704513549805,0.9291472434997559,0.11531250230036676,0.2,-4.0399034261703495,75506.53110351562,330,0.0003,25520.71875
10.0,220.3203845024109,10700,,,,,,,,,,,,,,,,
9.0,338.67935609817505,10800,,,,,,,,,,,,,,,,
,,10880,34,405.92149177,9.28,8997,1,,,,,,,,,,,
9.0,350.2443199157715,10900,,,,,,0.004576564,-0.006559857371212274,-0.03432297706604004,0.9287278056144714,0.0368750007590279,0.2,-4.034876430034638,73174.2275390625,340,0.0003,47281.875
18.0,970.9628028869629,11000,,,,,,,,,,,,,,,,
10.0,475.8687210083008,11100,,,,,,,,,,,,,,,,
20.0,614.1353521943092,11200,,,,,,,,,,,,,,,,
,,11200,35,403.90168123999996,9.33,9140,1,,,,,,,,,,,
20.0,1425.653886795044,11300,,,,,,0.008379356,-0.00469860847875907,0.009900331497192383,0.9263157844543457,0.12968750258442013,0.2,-4.031903424859047,64687.0119140625,350,0.0003,32908.8984375
7.0,268.5604248046875,11400,,,,,,,,,,,,,,,,
20.0,1175.6765518188477,11500,,,,,,,,,,,,,,,,
,,11520,36,350.92645369999997,8.32,9309,1,,,,,,,,,,,
20.0,1462.770866394043,11600,,,,,,0.012045579,-0.011816075791057302,-0.07175314426422119,0.9211466312408447,0.11406250193249434,0.2,-4.0165707021951675,86853.48132324219,360,0.0003,18603.271484375
15.0,651.7951955795288,11700,,,,,,,,,,,,,,,,
20.0,1243.734395980835,11800,,,,,,,,,,,,,,,,
,,11840,37,415.79151356,9.2,9486,1,,,,,,,,,,,
20.0,778.1268849372864,11900,,,,,,0.007807124,-0.011517563777351825,-0.038027405738830566,0.9198969602584839,0.09750000219792128,0.2,-4.005554291605949,97040.36997070312,370,0.0003,55130.83203125
9.0,250.93004703521729,12000,,,,,,,,,,,,,,,,
7.0,188.56575775146484,12100,,,,,,,,,,,,,,,,
,,12160,38,443.07048481999993,9.71,9627,1,,,,,,,,,,,
20.0,1156.101481437683,12200,,,,,,0.0034196484,-0.0028272883261706737,-0.04107320308685303,0.9174898862838745,0.057812501001171766,0.2,-4.001076583564282,88062.44240722657,380,0.0003,30153.36328125
15.0,747.5014152526855,12300,,,,,,,,,,,,,,,,
6.0,190.35945892333984,12400,,,,,,,,,,,,,,,,
,,12480,39,518.58010894,10.69,9766,1,,,,,,,,,,,
18.0,987.5087451934814,12500,,,,,,0.00927901,-0.004519175754057869,-0.056140899658203125,0.9133098125457764,0.12781250204425304,0.2,-3.988607843220234,78569.94770507813,390,0.0003,41920.015625
