time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/loss,train/value_loss,eval/mean_reward,train/learning_rate,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/explained_variance,eval/mean_ep_length,train/std,train/clip_fraction,train/clip_range
210,1,3.347826086956522,14.09332804347826,0,80,,,,,,,,,,,,,
,,,,,100,446.79290771484375,1198.1991519927979,-4.446274757385254,0.0003,-4.252633953094483,10,-0.02192392290082239,0.009472773,0.004063606262207031,5.0,0.9969580173492432,0.19125000229105354,0.2
330,2,3.1372549019607843,15.527866941176471,0,160,,,,,,,,,,,,,
,,,,,200,191.12721252441406,1832.8893886566161,23.75104522705078,0.0003,-4.250051426887512,20,-0.045930401372902455,0.029637385,0.0008766055107116699,2.0,0.9986782073974609,0.2837500029243529,0.2
387,3,3.0779220779220777,19.01512444155844,0,240,,,,,,,,,,,,,
,,,,,300,597.943603515625,1620.482382965088,2656.305160522461,0.0003,-4.252947223186493,30,-0.014616148442735266,0.020642117,0.001467585563659668,5.0,0.9986364245414734,0.12625000150874258,0.2
487,4,3.01,43.90346737,0,320,,,,,,,,,,,,,
,,,,,400,107836.140625,335259.18818397523,6.3578338623046875,0.0003,-4.249835860729218,40,0.017604674686458564,0.023216521,-0.0006656646728515625,2.0,0.996945858001709,0.2012500031851232,0.2
575,5,2.85,45.15310256000001,0,400,,,,,,,,,,,,,
685,6,2.91,52.207442490000005,0,480,636.9552001953125,1753.3366683959962,,0.0003,-4.24645962715149,50,-0.01602089091131802,0.018274426,-0.011289715766906738,,0.9960328340530396,0.3600000083446503,0.2
,,,,,500,2097.93115234375,2908.5619995117186,49.50569725036621,0.0003,-4.2428676128387455,60,-0.005418211683536356,0.005106979,6.765127182006836e-05,3.0,0.994469165802002,0.0037500000558793544,0.2
809,7,2.95,58.41871196000001,0,560,,,,,,,,,,,,,
,,,,,600,1228.2860107421875,2187.180809020996,111.7638635635376,0.0003,-4.239926338195801,70,-0.013553704058284665,0.013351821,-0.010770082473754883,5.0,0.9946257472038269,0.08625000128522516,0.2
939,8,2.93,38.009364489999996,0,640,,,,,,,,,,,,,
,,,,,700,715.760009765625,1579.0481689453125,94.58087253570557,0.0003,-4.238928937911988,80,-0.024828171810690948,0.032377377,0.0013184547424316406,4.0,0.9931319952011108,0.25375000610947607,0.2
1071,9,2.86,39.38012064,0,720,,,,,,,,,,,,,
,,,,,800,984.548583984375,2555.021435546875,148.24774932861328,0.0003,-4.233974540233612,90,-0.003701682598409661,0.009321549,-0.013648271560668945,5.0,0.9921250343322754,0.11375000141561031,0.2
1111,10,2.9,40.59675053,0,800,,,,,,,,,,,,,
1236,11,2.98,43.2243283,0,880,1320.1424560546875,2357.8917694091797,,0.0003,-4.22827000617981,100,-0.006129947463773533,0.0079888925,-0.004323005676269531,,0.987824559211731,0.12750000273808837,0.2
,,,,,900,2103.08447265625,3550.0833068847655,18.95132827758789,0.0003,-4.217221224308014,110,-0.027000422636047006,0.026178993,-0.00937795639038086,4.0,0.9861146211624146,0.28000000296160577,0.2
1409,12,2.96,44.43071346999999,0,960,,,,,,,,,,,,,
,,,,,1000,965.248779296875,2832.8042846679687,-5.0,0.0003,-4.213962411880493,120,-0.01065078790024927,0.017429085,-0.05000770092010498,1.0,0.9862281680107117,0.09875000184401869,0.2
1518,13,3.06,50.407975029999996,0,1040,,,,,,,,,,,,,
