rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/total_timesteps,time/fps,eval/mean_reward,eval/mean_ep_length,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates
2.75,5,-3.74364675,4,11,2,,,,,,
3.75,68,-2.170137625,8,30,0,,,,,,
,,,,40,,-15,3,,,,
3.5,82,-6.436679417,12,42,0,,,,,,
3.375,87,-3.748958875,16,54,0,,,,,,
3.4,94,-2.45609815,20,68,0,,,,,,
,,,,80,,-10,2,,,,
3.375,103,-0.098948792,24,81,0,,,,,,
3.535714286,109,-0.854821786,28,99,0,,,,,,
3.34375,113,0.028560062,32,107,0,,,155.8689499,0.001,1.106557161,7
3.194444444,119,-0.334644889,36,115,0,,,2796.321777,0.001,1.26059556,11
,,,,120,,-18.2244314,5,141.0534454,0.001,1.2022084,16
3.2,131,-1.490249825,40,128,0,,,125.6800413,0.001,3.451624632,28
3.090909091,135,-2.263863477,44,136,1,,,76.25372314,0.001,4.009172916,36
3.166666667,140,-3.741874854,48,152,1,,,54.40376053,0.001,4.053534031,48
,,,,160,,-25,5,9.667967892,0.001,4.281750361,58
3.307692308,151,-5.37711525,52,172,1,,,3.370009792,0.001,6.212909857,68
3.428571429,158,-6.778749875,56,192,1,,,6.268514395,0.001,5.766557535,88
,,,,200,,-25,5,6.519082355,0.001,6.114302953,98
3.533333333,168,-7.993499883,60,212,1,,,3.919224596,0.001,6.849713961,108
3.578125,173,-8.822031141,64,229,1,,,7.892191887,0.001,6.353806496,125
,,,,240,,-5,1,8.450865698,0.001,5.412295183,140
3.602941176,181,-9.479558721,68,245,1,,,8.059785843,0.001,,141
3.472222222,240,-9.300138792,72,250,1,,,3.425582886,0.001,6.653572083,150
3.486842105,244,-9.797499908,76,265,1,,,9.223198016,0.001,5.194327831,161
,,,,280,,138.2421541,5,1142.799185,0.001,4.734776497,177
3.5125,255,-4.681717275,80,281,1,,,,,,
3.452380952,259,0.283942774,84,290,1,,,4832.467041,0.001,0.683285594,189
3.386363636,265,3.726031795,88,298,1,,,5388.830078,0.001,-2.884899259,197
3.315217391,269,5.768020326,92,305,1,,,5729.702393,0.001,-6.538479805,204
3.21875,271,5.319352813,96,309,1,,,4227.674805,0.001,-9.656374931,209
3.14,275,5.57029584,100,314,1,,,10124.50977,0.001,-14.94199085,214
,,,,320,,-5,1,4070.925879,0.001,-25.12922796,220
3.15,283,5.66054068,104,326,1,,,10274.58789,0.001,-21.31263542,222
3.16,290,4.88210098,108,346,1,,,1477.498535,0.001,-19.87318103,242
