time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/total_timesteps,rollout/ep_len_mean,train/critic_loss,train/n_updates,train/learning_rate,train/actor_loss
0,-31.77350575,44,4,20,5.0,,,,
0,-22.202042624999997,89,8,42,5.25,,,,
0,12.618277916666665,153,12,72,6.0,,,,
0,8.254803187499999,173,16,83,5.1875,,,,
0,3.096512349999999,207,20,100,5.0,,,,
0,9.586964708333332,257,24,122,5.083333333333333,200.20179748535156,6,0.001,0.16919679939746857
0,3.6189829285714272,330,28,156,5.571428571428571,295.0293820699056,51,0.001,-0.5058431873718897
0,9.39992053125,402,32,187,5.84375,330.4463457380022,79,0.001,-0.8470726211865743
0,10.451133416666668,457,36,211,5.861111111111111,275.5231279645647,107,0.001,-2.645120938618978
0,8.675859749999997,483,40,224,5.6,256.14560317993164,122,0.001,-4.979051351547241
0,12.004869409090906,520,44,242,5.5,178.68019104003906,136,0.001,-5.15374755859375
0,12.235231333333333,544,48,255,5.3125,338.2102355957031,151,0.001,-6.694972515106201
0,11.912207576923077,557,52,263,5.0576923076923075,286.34226481119794,160,0.001,-8.55472469329834
0,11.809755160714285,574,56,273,4.875,324.18670654296875,170,0.001,-8.329657554626465
0,12.093932283333334,598,60,285,4.75,260.1957600911458,182,0.001,-7.022646427154541
0,12.73673765625,615,64,295,4.609375,303.5126241048177,192,0.001,-5.938456058502197
0,13.515582338235296,655,68,311,4.573529411764706,283.884765625,207,0.001,-6.644463539123535
0,13.923489874999998,684,72,324,4.5,373.900146484375,219,0.001,-7.495914936065674
0,14.725650842105262,711,76,336,4.421052631578948,319.91500091552734,234,0.001,-7.209484577178955
0,14.8897242125,733,80,346,4.325,228.1271209716797,245,0.001,-6.511953830718994
0,14.363049511904762,749,84,354,4.214285714285714,329.98602294921875,252,0.001,-5.932415962219238
0,14.615653715909088,776,88,365,4.1477272727272725,233.20521545410156,263,0.001,-5.86333703994751
0,14.001167478260868,790,92,372,4.043478260869565,248.6458282470703,271,0.001,-5.835524797439575
0,13.930537979166665,816,96,382,3.9791666666666665,325.15793863932294,280,0.001,-6.078672647476196
0,13.652845110000001,849,100,393,3.93,357.2263488769531,290,0.001,-7.642355442047119
0,15.574370219999999,881,104,404,3.84,333.93270111083984,301,0.001,-8.830113887786865
0,16.47644788,914,108,415,3.73,290.8258972167969,312,0.001,-9.316871166229248
0,13.775096159999999,943,112,425,3.53,289.1489791870117,322,0.001,-9.205940246582031
0,14.074903729999999,972,116,435,3.52,365.1143391927083,334,0.001,-8.555521965026855
0,15.792041140000002,1010,120,447,3.47,307.8492940266927,345,0.001,-7.625176906585693
0,14.67613951,1042,124,458,3.36,365.9241027832031,356,0.001,-6.57490611076355
0,16.18389765,1062,128,466,3.1,307.3437194824219,365,0.001,-5.129586696624756
0,-21.067688589999992,1114,132,483,2.96,356.3194859822591,376,0.001,-4.4426984786987305
0,-21.571573449999995,1137,136,492,2.81,339.46258544921875,391,0.001,-6.197909832000732
0,-20.618719889999998,1168,140,502,2.78,257.423100789388,400,0.001,-7.310283660888672
0,-20.964221549999998,1207,144,515,2.73,436555.1341451009,411,0.001,-7.542804718017578
0,-21.095090289999998,1235,148,525,2.7,281.45594278971356,424,0.001,-4.408688306808472
0,-21.088073870000002,1254,152,533,2.7,410.4709167480469,431,0.001,-3.464858293533325
0,-21.13886078,1273,156,543,2.7,414.3532409667969,438,0.001,-2.744344711303711
0,-21.174558540000003,1298,160,554,2.69,370.6021423339844,450,0.001,-2.134361743927002
0,-20.535481069999996,1328,164,566,2.71,421.1747131347656,463,0.001,-2.284400224685669
0,-21.77554429,1347,168,574,2.63,377.3677978515625,473,0.001,-2.6759936809539795
0,-21.487925769999997,1468,172,586,2.62,611.6629638671875,481,0.001,-3.1570913791656494
0,-21.10799458,1501,176,598,2.62,319.64039103190106,493,0.001,-4.0236945152282715
0,-20.02860598,1541,180,613,2.67,338.6538543701172,509,0.001,-5.058835506439209
0,-18.52788871,1570,184,626,2.72,371.3874816894531,523,0.001,-5.925684452056885
0,-19.316474030000002,1586,188,634,2.69,385.55296325683594,530,0.001,-6.397947788238525
0,-18.28243435,1606,192,645,2.73,357.97601318359375,542,0.001,-7.005623817443848
0,-18.33604916,1620,196,654,2.72,361.3217468261719,553,0.001,-7.715919017791748
0,-17.440623019999997,1657,200,668,2.75,436154.40627034503,564,0.001,-7.554384708404541
0,-17.926930929999997,1672,204,676,2.72,381.61761474609375,575,0.001,-6.009415149688721
0,-17.455339969999997,1773,208,686,2.71,420.18017578125,582,0.001,-5.187997579574585
0,-17.740072479999995,1788,212,696,2.71,487.59149169921875,594,0.001,-4.816922426223755
0,-16.966493179999993,1855,216,708,2.73,520.3829752604166,605,0.001,-4.884559154510498
0,-17.457621919999994,1874,220,718,2.71,333.1660461425781,614,0.001,-5.147313594818115
0,-17.068855569999997,1891,224,729,2.71,383.9103240966797,626,0.001,-5.781304836273193
0,-16.051311979999998,1922,228,743,2.77,469.4626693725586,639,0.001,-6.411773681640625
0,19.832334399999997,1945,232,754,2.71,506.49383544921875,651,0.001,-7.112453460693359
0,19.893040120000002,1959,236,764,2.72,434.8114827473958,662,0.001,-7.627861499786377
0,19.74564804,1972,240,772,2.7,528.0375366210938,670,0.001,-7.650132656097412
0,18.80744555,1991,244,783,2.68,417.2192789713542,680,0.001,-7.647631883621216
0,18.218357970000003,2001,248,790,2.65,343.562744140625,689,0.001,-7.592840671539307
0,19.11343062,2031,252,802,2.69,383.54807535807294,701,0.001,-7.756618022918701
0,19.72093185,2059,256,812,2.69,445.0983581542969,707,0.001,-7.962712287902832
0,20.26759223,2092,260,825,2.71,421.41629791259766,722,0.001,-7.930063009262085
0,19.03639493,2113,264,834,2.68,472.1793212890625,731,0.001,-7.537120342254639
0,19.04383061,2122,268,840,2.66,649.4473266601562,738,0.001,-6.5789313316345215
0,18.39590071,2143,272,849,2.63,532.0936279296875,748,0.001,-6.275373220443726
0,16.44938759,2148,276,853,2.55,502.1466369628906,752,0.001,-6.222049713134766
0,15.89736738,2187,280,867,2.54,647.2997029622396,766,0.001,-6.346474885940552
0,14.419570340000002,2192,284,873,2.47,486.9337158203125,772,0.001,-6.5314226150512695
0,15.081333580000003,2213,288,884,2.5,547.787353515625,781,0.001,-6.748167514801025
0,13.87640521,2228,292,892,2.47,435557.51015218097,790,0.001,-6.767703056335449
0,15.325205740000001,2259,296,906,2.52,541.7279561360677,803,0.001,-5.622901439666748
0,15.293023119999997,2284,300,917,2.49,597.4606201171875,814,0.001,-5.120560169219971
0,15.201984500000002,2295,304,925,2.49,757.2220153808594,823,0.001,-4.628890514373779
0,14.724780739999998,2311,308,934,2.48,470.44268798828125,832,0.001,-4.6351237297058105
0,16.792895610000002,2354,312,951,2.55,637.5855026245117,847,0.001,-4.6017982959747314
0,15.872067220000002,2361,316,957,2.49,499.391357421875,855,0.001,-4.386891841888428
0,16.345874130000002,2381,320,968,2.5,633.6055704752604,866,0.001,-4.541792154312134
0,16.55227864,2415,324,981,2.52,475.07403564453125,876,0.001,-4.77491569519043
0,15.85839576,2439,328,991,2.48,600.4030456542969,888,0.001,-5.088977336883545
0,16.57075565,2475,332,1004,2.5,652.3107096354166,900,0.001,-4.954633951187134
0,17.02131949,2493,336,1014,2.5,759.4967244466146,912,0.001,-4.7321906089782715
0,17.16747936,2522,340,1024,2.52,642.5014190673828,923,0.001,-4.94295597076416
0,16.85675507,2692,344,1033,2.5,598.7129211425781,931,0.001,-5.2529826164245605
0,19.317928539999997,2828,348,1048,2.58,577.8509419759115,945,0.001,-4.694840908050537
