eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/loss,train/std,train/n_updates,train/clip_range,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/explained_variance
5,-12.820889,40,,,,,,,,,,,,,,,,
,,40,2,30,1,1,-6.39392915,,,,,,,,,,,
1,-5,80,,,,,,-4.263253218,0.009626737,52.27922058,1.004040241,10,0.2,143.351873,-0.008953136,0.0003,0.110000002,-0.005455732
,,80,1.951219512,60,2,1,-6.107889098,,,,,,,,,,,
1,-5,120,,,,,,-4.25853253,0.006345569,12.43566418,0.996677518,20,0.2,63.93231502,-0.010993066,0.0003,0.042500001,-0.000662446
,,120,2.068965517,87,3,1,-3.827066793,,,,,,,,,,,
5,25.34910583,160,,,,,,-4.243068022,0.016769001,19.01817322,0.994860828,30,0.2,328.5397072,-0.003087039,0.0003,0.175000004,-0.010277033
,,160,2.208333333,114,4,1,-1.588892681,,,,,,,,,,,
5,23.01159424,200,,,,,,-4.244999856,0.022782462,444.4055176,0.99710387,40,0.2,1025.548895,-0.025149007,0.0003,0.157500003,0.003122747
,,200,2.085106383,144,5,1,-2.103144798,,,,,,,,,,,
1,-5,240,,,,,,-4.244144017,0.016799374,67.35424805,0.995259285,50,0.2,220.5419425,-0.019861787,0.0003,0.170000004,-0.002646446
,,240,2.16,172,6,1,-2.26867802,,,,,,,,,,,
2,-10,280,,,,,,-4.244303775,0.045602642,144.148819,0.995989084,60,0.2,177.0239346,-0.052953794,0.0003,0.385000008,0.011597157
,,280,2.03,205,7,1,0.19712665,,,,,,,,,,,
1,-5,320,,,,,,-4.24057163,0.023874296,2512.193604,0.992194176,70,0.2,1480.614406,-0.011677199,0.0003,0.175000004,0.000428736
,,320,1.83,285,8,1,-0.6847011,,,,,,,,,,,
