eval/mean_reward,time/total_timesteps,eval/mean_ep_length,rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/std,train/approx_kl,train/clip_range,train/n_updates,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/loss,train/explained_variance,train/entropy_loss
68.2796516418457,40,5.0,,,,,,,,,,,,,,,,
,40,,1.9,1,1,29,-2.12898005,,,,,,,,,,,
-20.0,80,4.0,,,,,,0.9933191537857056,0.014197101,0.2,10,0.0003,151.2770481467247,-0.024098048713931352,0.18250000271946193,52.46725845336914,0.00026732683181762695,-4.245805591344833
,80,,2.1621621621621623,1,2,56,-2.417360864864865,,,,,,,,,,,
126.65955185890198,120,5.0,,,,,,0.9896321296691895,0.02145534,0.2,20,0.0003,120.09075074195862,-0.0354302698103129,0.16500000320374966,6.640498161315918,-0.006423354148864746,-4.2303357183933255
,120,,2.2452830188679247,1,3,87,3.378069471698113,,,,,,,,,,,
26.787269592285156,160,3.0,,,,,,0.9871457815170288,0.005909808,0.2,30,0.0003,3925.928446650505,-0.006390471611994108,0.005000000074505806,1418.9697265625,0.014972507953643799,-4.221957284212112
,160,,2.164383561643836,0,4,432,4.659318835616439,,,,,,,,,,,
-5.0,200,1.0,,,,,,0.9819772243499756,0.00757578,0.2,40,0.0003,551.4864750623703,-0.0036623599837548593,0.015000000223517418,113.78205871582031,0.0005179643630981445,-4.211501586437225
,200,,2.1052631578947367,0,5,503,5.086153010526317,,,,,,,,,,,
-15.0,240,3.0,,,,,,0.9776676893234253,0.0071215024,0.2,50,0.0003,640.3374051570893,-0.005241061099877697,0.06000000089406967,75.25980377197266,-0.001517653465270996,-4.194694018363952
,240,,2.17,0,6,528,5.6542369599999995,,,,,,,,,,,
-5.0,280,1.0,,,,,,0.973543107509613,0.015708808,0.2,60,0.0003,349.91254844665525,-0.013285286308282596,0.12500000223517418,179.86871337890625,0.0047568678855896,-4.181708741188049
,280,,2.05,0,7,589,6.54644221,,,,,,,,,,,
-5.0,320,1.0,,,,,,0.9723183512687683,0.01081237,0.2,70,0.0003,876.0040057659149,-0.0030976656910752355,0.13250000234693288,45.16640853881836,0.0012088418006896973,-4.173772555589676
,320,,2.01,0,8,613,4.849775790000001,,,,,,,,,,,
-5.0,360,1.0,,,,,,0.971402108669281,0.001988794,0.2,80,0.0003,1267.7786583900452,-0.002338367210322723,0.0,1998.9071044921875,-0.007345914840698242,-4.1703024983406065
,360,,2.06,0,9,637,4.712536490000001,,,,,,,,,,,
-10.0,400,2.0,,,,,,0.9697937965393066,0.019002546,0.2,90,0.0003,554.7717874526977,-0.02573402253052337,0.19500000458210706,457.9543762207031,0.0036619901657104492,-4.166873502731323
,400,,2.08,0,10,664,3.78968781,,,,,,,,,,,
-11.353490352630615,440,3.0,,,,,,0.967021644115448,0.006111257,0.2,100,0.0003,550.9285798072815,-0.007297662771343316,0.012500000186264515,27.128461837768555,0.016556084156036377,-4.159491044282913
,440,,2.1,0,11,741,4.254530579999999,,,,,,,,,,,
-13.069358825683594,480,5.0,,,,,,0.9635764956474304,0.006343633,0.2,110,0.0003,999.0881206393242,-0.008926628032422812,0.032500000484287736,30.362701416015625,0.00439983606338501,-4.151313245296478
,480,,2.12,0,12,780,6.04906506,,,,,,,,,,,
169.85846138000488,520,5.0,,,,,,0.9612855911254883,0.01254794,0.2,120,0.0003,539.2484558343888,-0.0011133470810455125,0.20750000458210707,92.31749725341797,-0.010060787200927734,-4.140243512392044
,520,,2.04,0,13,811,7.310793930000001,,,,,,,,,,,
-5.0,560,1.0,,,,,,0.9590346813201904,0.005016956,0.2,130,0.0003,4318.947888326645,-0.006390433311462407,0.06000000089406967,49.91022491455078,0.003313124179840088,-4.134286123514175
,560,,2.03,0,14,841,9.444922230000001,,,,,,,,,,,
8.74543309211731,600,4.0,,,,,,0.9591052532196045,0.014065561,0.2,140,0.0003,1780.5016619682312,0.010458645542894374,0.235000004991889,2151.391845703125,-0.0045348405838012695,-4.129798799753189
,600,,2.06,0,15,910,9.25152844,,,,,,,,,,,
-2.1814115941524506,640,4.0,,,,,,0.9590764045715332,0.019196488,0.2,150,0.0003,479.13377780914306,-0.026119576378114306,0.22250000555068256,406.8683776855469,0.0039768218994140625,-4.12991834282875
,640,,2.07,0,16,984,10.47925668,,,,,,,,,,,
-15.0,680,3.0,,,,,,0.9610380530357361,0.013716966,0.2,160,0.0003,582.138715839386,-0.010073566584032956,0.21500000432133676,138.94053649902344,-0.00014603137969970703,-4.131784588098526
,680,,2.0,0,17,1015,10.397398310000002,,,,,,,,,,,
-5.0,720,1.0,,,,,,0.9563055038452148,0.0051203473,0.2,170,0.0003,1084.5830290794372,-0.005234644874508376,0.047500000707805155,106.5563735961914,-0.007940053939819336,-4.131386464834213
,720,,2.07,0,18,1045,12.054251290000002,,,,,,,,,,,
-5.0,760,1.0,,,,,,0.9533421397209167,0.00623059,0.2,180,0.0003,1127.1039256095887,-0.018257694624771826,0.08500000163912773,81.41145324707031,0.008943557739257812,-4.115342170000076
,760,,1.88,0,19,1098,5.683517,,,,,,,,,,,
46.1462345123291,800,4.0,,,,,,0.9496595859527588,0.012979381,0.2,190,0.0003,165.2004195690155,-0.013224075768721377,0.09250000193715095,31.851659774780273,0.01717400550842285,-4.105793756246567
,800,,1.74,0,20,1200,7.947112530000001,,,,,,,,,,,
-5.0,840,1.0,,,,,,0.9404169321060181,0.020129027,0.2,200,0.0003,7940.037871146202,-0.023056737259466897,0.2175000049173832,36.32057189941406,0.009176313877105713,-4.087961429357529
,840,,1.66,0,21,1228,8.35132536,,,,,,,,,,,
-5.0,880,1.0,,,,,,0.9416894316673279,0.003583084,0.2,210,0.0003,1437.2582058429718,-0.0013090193173411536,0.09500000141561031,867.4326171875,0.0011621713638305664,-4.071007961034775
,880,,1.65,0,22,1257,15.653743890000001,,,,,,,,,,,
91.95992851257324,920,4.0,,,,,,0.9390795230865479,0.013809532,0.2,220,0.0003,8118.845937252045,0.007816216404389741,0.16750000324100256,138.16900634765625,-0.0025014877319335938,-4.06921808719635
,920,,1.68,0,23,1298,17.68207495,,,,,,,,,,,
499.7835693359375,960,5.0,,,,,,0.9366992712020874,0.03159906,0.2,230,0.0003,528.8716506958008,-0.002995708817616105,0.16250000335276127,442.0247497558594,-0.007666945457458496,-4.061693805456161
,960,,1.88,0,24,1323,25.295290349999995,,,,,,,,,,,
85.56351089477539,1000,3.0,,,,,,0.9357768297195435,0.009362867,0.2,240,0.0003,17309.155916023254,-0.00585057644675544,0.09750000145286322,3801.521240234375,0.005327403545379639,-4.05583685040474
,1000,,1.92,0,25,1374,25.840567179999997,,,,,,,,,,,
34.80671691894531,1040,2.0,,,,,,0.9335409998893738,0.008149934,0.2,250,0.0003,1778.8449272155763,-0.014429498118079209,0.0800000011920929,203.98037719726562,-0.021529793739318848,-4.051201415061951
,1040,,1.89,0,26,1407,20.518586230000004,,,,,,,,,,,
44.780025482177734,1080,3.0,,,,,,0.9344615936279297,0.028500441,0.2,260,0.0003,1633.7611738204955,0.000502904343156807,0.09000000152736902,113.63810729980469,-0.001115560531616211,-4.0482316553592685
,1080,,1.87,0,27,1467,20.575613670000003,,,,,,,,,,,
-5.0,1120,1.0,,,,,,0.9333093166351318,0.06680649,0.2,270,0.0003,1633.2337169647217,-0.01061201572920254,0.4825000075623393,163.62884521484375,-0.01933133602142334,-4.049162739515305
,1120,,1.76,0,28,1500,16.37638496,,,,,,,,,,,
-5.0,1160,1.0,,,,,,0.9352806806564331,0.01945648,0.2,280,0.0003,1036.3829481124878,-0.015269060489808906,0.2200000047683716,258.74932861328125,-0.006114840507507324,-4.0509889125823975
,1160,,1.68,0,29,1579,15.17940238,,,,,,,,,,,
-11.923184394836426,1200,3.0,,,,,,0.9333574175834656,0.011180388,0.2,290,0.0003,10866.387111282349,0.0003293596967705481,0.07250000145286321,187.76376342773438,0.0019732117652893066,-4.050483351945877
,1200,,1.62,0,30,1614,18.95096025,,,,,,,,,,,
-5.0,1240,1.0,,,,,,0.9334861636161804,0.0145832375,0.2,300,0.0003,3114.624758720398,-0.024705460280256376,0.15500000305473804,125.79866790771484,-0.00991833209991455,-4.0471142590045925
,1240,,1.74,0,31,1644,20.526639770000003,,,,,,,,,,,
-5.0,1280,1.0,,,,,,0.932778000831604,0.027116563,0.2,310,0.0003,3218.0772779464723,-0.021916083716420197,0.2400000061839819,2870.952880859375,0.003177165985107422,-4.046273648738861
,1280,,1.75,0,32,1676,18.251146459999998,,,,,,,,,,,
41.260860443115234,1320,2.0,,,,,,0.9343676567077637,0.084414616,0.2,320,0.0003,573.502908706665,-0.05496108978346457,0.5100000124424696,116.93109893798828,-0.04338645935058594,-4.046871817111969
,1320,,1.77,0,33,1706,13.9001564,,,,,,,,,,,
-10.0,1360,2.0,,,,,,0.9371530413627625,0.03096913,0.2,330,0.0003,792.4480337142944,-0.023521095141022675,0.315000007674098,1148.5159912109375,-0.0024973154067993164,-4.052823954820633
,1360,,1.73,0,34,1770,15.056496949999998,,,,,,,,,,,
-10.0,1400,2.0,,,,,,0.9391357898712158,0.010084167,0.2,340,0.0003,11202.88058795929,-0.01554746576002799,0.10750000178813934,190.45718383789062,0.010686159133911133,-4.061490947008133
,1400,,1.66,0,35,1802,16.92695849,,,,,,,,,,,
25.960845708847046,1440,4.0,,,,,,0.9402903318405151,0.015787128,0.2,350,0.0003,11859.72184638977,0.024424823698645924,0.3175000067800283,213.89163208007812,-0.0019268989562988281,-4.066542685031891
,1440,,1.69,0,36,1869,18.26600745,,,,,,,,,,,
491.7996072769165,1480,5.0,,,,,,0.938055694103241,0.021027584,0.2,360,0.0003,1685.0377965927123,-0.019224161559213825,0.16500000339001417,191.10867309570312,-0.02841949462890625,-4.064785504341126
