time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/clip_range,train/std
40,1.0,-5.0,,,,,,,,,,,,,,,,
40,,,71,0,-6.795115083333333,3.3333333333333335,1,,,,,,,,,,,
80,5.0,-8.003226041793823,,,,,,0.026302487,0.0003,-0.00035762786865234375,10,23.460220336914062,-4.255627697706222,0.20500000454485418,-0.02024426673830021,75.66441469192505,0.2,0.9998578429222107
80,,,172,0,-5.371583148148147,2.888888888888889,2,,,,,,,,,,,
120,3.0,-15.0,,,,,,0.013177596,0.0003,-0.010711431503295898,20,24.397459030151367,-4.245274364948273,0.15000000298023225,-0.013087614080868625,184.23598224520683,0.2,0.9907231330871582
120,,,284,0,-3.5459545952380953,2.8333333333333335,3,,,,,,,,,,,
160,4.0,-19.434138298034668,,,,,,0.017797764,0.0003,-0.001286625862121582,30,272.1629943847656,-4.21837546825409,0.2175000047311187,-0.027400466264807622,326.0485512673855,0.2,0.985282838344574
160,,,426,0,-3.1771285999999996,2.8727272727272726,4,,,,,,,,,,,
200,5.0,45.58990526199341,,,,,,0.02255441,0.0003,0.0018193721771240234,40,207.4500274658203,-4.202650815248489,0.16000000275671483,-0.022631110430738843,298.0011071562767,0.2,0.9784739017486572
200,,,542,0,-3.7359309436619714,2.76056338028169,5,,,,,,,,,,,
240,1.0,-5.0,,,,,,0.012210673,0.0003,0.013455212116241455,50,119.31683349609375,-4.182938826084137,0.287500006146729,-0.030749360677655203,184.49821214675904,0.2,0.9727908968925476
240,,,561,0,-1.4994375517241376,2.7586206896551726,6,,,,,,,,,,,
280,5.0,-17.444867610931396,,,,,,0.010953747,0.0003,0.017111241817474365,60,237.80429077148438,-4.1620836675167086,0.20250000357627868,-0.029477525539114136,761.5551944494248,0.2,0.9658925533294678
280,,,1017,0,-1.4695603367346934,2.836734693877551,7,,,,,,,,,,,
320,5.0,18.09844744205475,,,,,,0.029538618,0.0003,-0.038700103759765625,70,333.6885070800781,-4.14832039475441,0.32500000651925803,-0.020581051742119615,221.6188378572464,0.2,0.9638485312461853
320,,,1105,0,-0.22340144999999964,2.8,8,,,,,,,,,,,
360,5.0,-9.73571914434433,,,,,,0.008346315,0.0003,-0.013984084129333496,80,178.27590942382812,-4.14169979095459,0.23750000521540643,-0.0200845016304811,351.87205399274825,0.2,0.9613156318664551
360,,,1203,0,0.5761245000000004,2.88,9,,,,,,,,,,,
400,3.0,-6.800455093383789,,,,,,0.017248547,0.0003,-0.010095834732055664,90,12.02692985534668,-4.129652100801468,0.17000000309199095,-0.024311139875499065,61.0565146446228,0.2,0.9560805559158325
400,,,1238,0,2.12372642,2.97,10,,,,,,,,,,,
440,5.0,51.84073221683502,,,,,,0.020557227,0.0003,0.025259196758270264,100,32.43342971801758,-4.121155679225922,0.2600000059232116,-0.029733750842860902,403.9809161782265,0.2,0.9564949870109558
440,,,1282,0,2.1268583199999997,3.0,11,,,,,,,,,,,
480,5.0,27.18530559539795,,,,,,0.016166147,0.0003,0.022294580936431885,110,108.6695785522461,-4.114768582582474,0.21250000428408383,-0.01577016789786285,161.25911972522735,0.2,0.9517054557800293
480,,,1327,0,3.6186229400000003,3.11,12,,,,,,,,,,,
520,5.0,-5.688230395317078,,,,,,0.03551724,0.0003,-0.031027913093566895,120,97.27839660644531,-4.104361432790756,0.3975000087171793,-0.05209516061062458,400.18508644104,0.2,0.9497107863426208
520,,,1374,0,5.98925944,3.15,13,,,,,,,,,,,
560,2.0,1.9012880325317383,,,,,,0.014690237,0.0003,0.01613473892211914,130,565.1520385742188,-4.098974269628525,0.10000000204890966,-0.018587499231925885,605.9197681903839,0.2,0.9480783939361572
560,,,1549,0,5.052065809999999,3.18,14,,,,,,,,,,,
600,1.0,-5.0,,,,,,0.015423961,0.0003,-0.018303990364074707,140,16.856977462768555,-4.089688640832901,0.10250000171363353,-0.008155149394551708,145.492276763916,0.2,0.9432923197746277
600,,,1649,0,7.38596024,3.08,15,,,,,,,,,,,
640,5.0,12.860539436340332,,,,,,0.012750979,0.0003,0.004571199417114258,150,176.7049560546875,-4.077958649396896,0.11750000212341546,-0.00011957278728005338,714.4720795154572,0.2,0.9414291381835938
640,,,1690,0,7.89579153,3.13,16,,,,,,,,,,,
680,3.0,-10.632773756980896,,,,,,0.021822687,0.0003,-0.01294553279876709,160,346.2635192871094,-4.077349156141281,0.22750000450760127,-0.012495492957823439,186.01044919490815,0.2,0.9430503249168396
680,,,1726,0,68.4369273,3.22,17,,,,,,,,,,,
720,5.0,27.09708595275879,,,,,,0.021046054,0.0003,6.42538070678711e-05,170,112.61808013916016,-4.077341657876969,0.2600000061094761,-0.010352369855681897,1613472.3504888534,0.2,0.9412772059440613
720,,,1835,0,67.37568837000002,3.11,18,,,,,,,,,,,
760,5.0,98.46392726898193,,,,,,0.027175425,0.0003,-0.015250086784362793,180,49.566246032714844,-4.073144966363907,0.3050000065937638,-0.036261459743245725,150.97403740882874,0.2,0.9398919343948364
760,,,1917,0,67.90710767,3.12,19,,,,,,,,,,,
800,4.0,28.01176905632019,,,,,,0.033716977,0.0003,-0.003277301788330078,190,156.23117065429688,-4.06532136797905,0.23250000476837157,-0.01897941087881918,413.310596036911,0.2,0.9366052150726318
800,,,1958,0,68.66674495000001,3.11,20,,,,,,,,,,,
840,5.0,72.18323421478271,,,,,,0.026884593,0.0003,0.0030781030654907227,200,96.88965606689453,-4.055468034744263,0.22750000488013028,-0.023422792225303503,533.3433337211609,0.2,0.9347757697105408
840,,,1998,0,68.53656711,3.13,21,,,,,,,,,,,
880,5.0,33.77262496948242,,,,,,0.026124816,0.0003,0.01892763376235962,210,105.39156341552734,-4.052249610424042,0.2025000037625432,-0.023574446190468733,705.4227067947388,0.2,0.933903694152832
880,,,2037,0,72.10533781999999,3.22,22,,,,,,,,,,,
