time/total_timesteps,eval/mean_reward,eval/mean_ep_length,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/value_loss,train/loss,train/explained_variance,train/n_updates,train/std,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_fraction
40,-23.93330192565918,5.0,,,,,,,,,,,,,,,,
40,,,2.2222222222222223,1,33,3.2394399999999997,1,,,,,,,,,,,
80,10.181909561157227,4.0,,,,,,1089.2149537086486,1387.60546875,-0.0006757974624633789,10,0.9972275495529175,0.2,0.015144639,-0.01235643636682653,-4.252098047733307,0.0003,0.23000000566244125
80,,,2.1666666666666665,2,69,3.7477679166666666,1,,,,,,,,,,,
120,-15.0,3.0,,,,,,290.26241513490675,28.363964080810547,-0.0031441450119018555,20,0.9931702613830566,0.2,0.016883025,-0.017684511045627006,-4.242315262556076,0.0003,0.15250000283122062
120,,,1.9508196721311475,3,147,-0.37463980327868845,0,,,,,,,,,,,
160,-10.0,2.0,,,,,,56.90883638858795,11.043099403381348,0.007286190986633301,30,0.9925798177719116,0.2,0.024521595,-0.0404153253382173,-4.234421640634537,0.0003,0.3475000089034438
160,,,2.0,4,237,-0.6004502749999997,0,,,,,,,,,,,
200,-13.028053760528564,3.0,,,,,,180.9653086900711,47.52652359008789,0.005951523780822754,40,0.9878737330436707,0.2,0.013909207,-0.02393634790823853,-4.2282320022583,0.0003,0.2075000051409006
200,,,2.0,5,321,-0.7841130101010099,0,,,,,,,,,,,
240,-10.0,2.0,,,,,,118.4457185804844,18.48976707458496,0.025957703590393066,50,0.9845978617668152,0.2,0.01784316,-0.018882279153403948,-4.215391302108765,0.0003,0.24750000517815351
240,,,2.04,6,349,1.2927949100000005,0,,,,,,,,,,,
280,-0.09821033477783203,2.0,,,,,,973.5370074868202,57.90109634399414,-0.002828836441040039,60,0.9798405170440674,0.2,0.01232726,-0.0117299858795195,-4.202468121051789,0.0003,0.08250000141561031
280,,,1.96,7,383,-0.4293512,0,,,,,,,,,,,
320,25.61533546447754,2.0,,,,,,185.2026252746582,34.579803466796875,-0.0018634796142578125,70,0.9736749529838562,0.2,0.008830616,-0.023064072984416272,-4.185969001054763,0.0003,0.10000000186264515
320,,,2.08,8,412,2.6197137299999995,0,,,,,,,,,,,
360,-4.026960790157318,2.0,,,,,,496.63736857175826,32.14161682128906,0.00037741661071777344,80,0.9706867933273315,0.2,0.011975594,-0.025118545163422823,-4.170940053462982,0.0003,0.1400000026449561
360,,,2.05,9,443,6.1772947700000005,0,,,,,,,,,,,
400,43.70447540283203,2.0,,,,,,2541.116221213341,39.80243682861328,-0.0007090568542480469,90,0.9681903123855591,0.2,0.013840225,-0.007492293144678119,-4.163558083772659,0.0003,0.11750000230967998
400,,,2.05,10,477,7.842936020000001,0,,,,,,,,,,,
440,2.733661651611328,5.0,,,,,,227.19381716251374,17.777803421020508,-0.0009866952896118164,100,0.9658801555633545,0.2,0.011106867,-0.000953435447736406,-4.155294626951218,0.0003,0.09750000163912773
440,,,2.02,11,511,6.72790368,0,,,,,,,,,,,
480,-5.0,1.0,,,,,,311.285534453392,150.60108947753906,-0.004578113555908203,110,0.9674991369247437,0.2,0.019244362,-0.012373934179486245,-4.154958087205887,0.0003,0.1775000037625432
