eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/std,train/n_updates
3.0,40,-2.528254985809326,,,,,,,,,,,,,,,,
,40,,47,1,-2.1773540000000002,1.95,0,,,,,,,,,,,
4.0,80,-20.0,,,,,,0.0003,2.181529998779297e-05,-4.248947030305862,-0.0302521763891491,89.09593689441681,0.22500000409781934,31.892913818359375,0.2,0.026124869,0.9962644577026367,10
,80,,98,2,-1.4986345238095242,1.880952380952381,0,,,,,,,,,,,
3.0,120,-13.662219762802124,,,,,,0.0003,-0.0002900362014770508,-4.239747226238251,-0.010667977796147166,386.1894850373268,0.1800000039860606,324.9931640625,0.2,0.010460265,0.9927055835723877,20
,120,,159,3,-0.6672801746031747,1.9047619047619047,0,,,,,,,,,,,
5.0,160,62.93265038728714,,,,,,0.0003,0.003268122673034668,-4.224212735891342,-0.012769337386707779,286.5785273194313,0.16000000275671483,191.2357635498047,0.2,0.020842273,0.9872991442680359,30
,160,,186,4,2.879382382716049,1.962962962962963,0,,,,,,,,,,,
1.0,200,-5.0,,,,,,0.0003,0.002900242805480957,-4.213931220769882,-0.022412213342468013,1682.196248626709,0.21000000406056643,794.832275390625,0.2,0.018253297,0.9841978549957275,40
,200,,261,5,3.5461012700000007,1.91,0,,,,,,,,,,,
1.0,240,-5.0,,,,,,0.0003,-0.0009093284606933594,-4.203789311647415,-0.015364769467814777,268.7667033910751,0.14750000312924386,229.9319305419922,0.2,0.021075167,0.9808222055435181,50
,240,,350,6,5.48670309,1.95,0,,,,,,,,,,,
3.0,280,24.720803260803223,,,,,,0.0003,0.0004634261131286621,-4.196188193559647,-0.001122495503659593,640.8797866106033,0.09250000137835741,432.0697021484375,0.2,0.006137875,0.9804162383079529,60
,280,,404,7,7.120649219999999,1.89,0,,,,,,,,,,,
4.0,320,-20.0,,,,,,0.0003,-0.004655361175537109,-4.196385234594345,-0.015714083861385,738.640231180191,0.22750000488013028,24.55262565612793,0.2,0.01922293,0.9787386655807495,70
,320,,439,8,8.24330758,1.9,0,,,,,,,,,,,
1.0,360,-5.0,,,,,,0.0003,-0.006575345993041992,-4.1846322357654575,-0.004210003512716875,2440.6873025894165,0.052500000782310964,91.43245697021484,0.2,0.00771091,0.9739472270011902,80
,360,,508,9,6.58695529,1.8,0,,,,,,,,,,,
1.0,400,-5.0,,,,,,0.0003,-0.007415175437927246,-4.175563406944275,-0.02422878957569985,658.0540076255799,0.21500000525265933,345.15277099609375,0.2,0.031244613,0.9730520248413086,90
,400,,532,10,5.173752100000001,1.81,0,,,,,,,,,,,
