time/total_timesteps,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,train/value_loss,train/n_updates,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/std,train/loss
40,5.0,38.80120086669922,,,,,,,,,,,,,,,,
40,,,2.923076923076923,-1.9895929230769238,105,0,1,,,,,,,,,,,
80,2.0,-4.458644807338715,,,,,,115.25622545480728,10,0.2,-4.260531598329544,0.010968029499053955,0.0003,-0.04044173745394801,0.24250000566244126,0.033696797,1.0027989149093628,11.214670181274414
80,,,2.962962962962963,-3.564428999999999,191,0,2,,,,,,,,,,,
120,5.0,21.608529090881348,,,,,,85.40764946937561,20,0.2,-4.253360497951507,0.015094876289367676,0.0003,-0.04365361710330036,0.36250000782310965,0.060103264,0.993511438369751,27.171213150024414
120,,,2.8536585365853657,-4.141428170731707,233,0,3,,,,,,,,,,,
160,2.0,1.092301368713379,,,,,,129.13827736079693,30,0.2,-4.233825367689133,0.04526311159133911,0.0003,-0.008431334372726251,0.14500000309199096,0.009987384,0.9928959608078003,2.8275551795959473
160,,,2.909090909090909,-5.570560472727273,250,0,4,,,,,,,,,,,
200,4.0,-20.0,,,,,,56.00074051618576,40,0.2,-4.228290241956711,0.00621563196182251,0.0003,-0.016841001086577025,0.22000000420957805,0.022098728,0.9869396090507507,17.853376388549805
200,,,2.842857142857143,-5.616581914285714,272,0,5,,,,,,,,,,,
240,2.0,4.167092323303223,,,,,,116.86891422271728,50,0.2,-4.212823504209519,-0.03125119209289551,0.0003,-0.027086445165741678,0.16000000331550837,0.019640416,0.984809160232544,24.949810028076172
240,,,2.8452380952380953,-4.049175547619048,290,0,6,,,,,,,,,,,
280,1.0,-5.0,,,,,,212.92590705156326,60,0.2,-4.2087371230125425,0.04054582118988037,0.0003,-0.02054343776399037,0.11000000219792128,0.02052765,0.9836131930351257,13.68696403503418
280,,,2.77,-2.6620383599999995,307,0,7,,,,,,,,,,,
320,5.0,-9.57543732970953,,,,,,940.7956467986107,70,0.2,-4.201972126960754,0.0008537173271179199,0.0003,-0.009627465380508515,0.0825000012293458,0.014691927,0.9801483154296875,93.75518035888672
320,,,2.74,-2.497852140000001,327,0,8,,,,,,,,,,,
