time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/std,train/n_updates,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/loss,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
10,1,7,5.8272085,1.5,1,,,,,,,,,,,,,
20,2,10,33.9643763,1.9,1,0.9786214828491211,1,0.2,315.7654113769531,-4.191744804382324,0.0014354586601257324,0.006445634365082498,0.0,169.228515625,0.0003,0.00022991897,,
30,3,14,45.51649864285714,2.0714285714285716,2,0.978522777557373,2,0.2,12097.3564453125,-4.1916279792785645,-0.0027168989181518555,0.0002497434674300081,0.0,7098.37548828125,0.0003,3.28362e-05,,
40,,,,,,0.9784473776817322,3,0.2,18192.948852539062,-4.19133448600769,-0.0020182132720947266,0.0020854206290095156,0.0,16793.431640625,0.0003,2.0354986e-05,17.244976043701172,2.0
40,4,47,30.686390523809525,1.9047619047619047,0,,,,,,,,,,,,,
50,5,51,30.02998453846154,1.9230769230769231,0,0.9784773588180542,4,0.2,133.94608116149902,-4.191206455230713,0.009978413581848145,-0.00024331212625838816,0.0,106.09912109375,0.0003,1.5622378e-05,,
60,6,55,39.33778320689655,2.0344827586206895,1,0.9784481525421143,5,0.2,894.7286376953125,-4.191246271133423,0.0016393661499023438,0.0018586277728900313,0.0,484.2236022949219,0.0003,9.5117095e-05,,
70,7,62,35.64387188571429,1.9714285714285715,1,0.9784102439880371,6,0.2,17631.658935546875,-4.191138029098511,-0.002743363380432129,0.0015410423511639237,0.0,3024.3115234375,0.0003,2.7358532e-05,,
80,,,,,,0.9783841371536255,7,0.2,1454.3016319274902,-4.190999269485474,0.0020993947982788086,-0.0008254289859905839,0.0,33.48223114013672,0.0003,2.0718575e-05,51.671926498413086,3.0
80,8,74,38.647097461538465,2.051282051282051,1,,,,,,,,,,,,,
90,9,78,39.281013166666675,2.142857142857143,1,0.9783810377120972,8,0.2,2730.8982849121094,-4.190946578979492,0.00023740530014038086,-6.315708160364863e-05,0.0,2472.2822265625,0.0003,3.2663345e-05,,
100,10,85,36.78754071428572,2.0408163265306123,1,0.9783548712730408,9,0.2,4897.985107421875,-4.1909098625183105,-0.0011528730392456055,-4.910230854893172e-05,0.0,2539.4912109375,0.0003,1.0824204e-05,,
110,11,88,42.28418978431373,2.156862745098039,1,0.9783191680908203,10,0.2,1281.3419494628906,-4.190847396850586,-0.0006189346313476562,-0.00048012734623625875,0.0,798.040283203125,0.0003,6.6280368e-06,,
120,,,,,,0.9782437682151794,11,0.2,16574.9541015625,-4.1906797885894775,0.0009445548057556152,0.004223007149994018,0.0,8092.86767578125,0.0003,2.6750566e-05,21.333106994628906,2.0
120,12,96,41.19713283636364,2.1636363636363636,1,,,,,,,,,,,,,
130,13,101,41.799789750000016,2.1666666666666665,1,0.9781729578971863,12,0.2,2860.58935546875,-4.190466403961182,-0.002033233642578125,-0.00014857649803090567,0.0,1108.6265869140625,0.0003,5.996227e-06,,
140,14,109,39.8510368939394,2.121212121212121,1,0.9781383872032166,13,0.2,7343.363723754883,-4.190230131149292,-0.010000467300415039,-0.00132965450175071,0.0,141.02171325683594,0.0003,3.838539e-06,,
150,15,114,39.64605682608696,2.130434782608696,1,0.9781346321105957,14,0.2,1187.4515762329102,-4.190155982971191,-0.0037642717361450195,-0.0020655693020668053,0.0,44.870540618896484,0.0003,2.38657e-05,,
160,,,,,,0.9780638217926025,15,0.2,2339.9955139160156,-4.190121412277222,-0.0021153688430786133,-0.002527916431425581,0.0,1903.8035888671875,0.0003,0.000113862756,28.099205017089844,2.0
160,16,123,37.882424146666665,2.1333333333333333,1,,,,,,,,,,,,,
