time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/std,train/clip_range,train/loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/value_loss,eval/mean_reward,eval/mean_ep_length
1,10,167.3145765,1,4.5,5,,,,,,,,,,,,,
2,20,82.262974,2,3.0,8,0.0003,0.0018537044525146484,0.009230065159499645,0.9789128303527832,0.2,8488.35546875,-4.191821813583374,0.00036022067,0.0,1,14376.7626953125,,
3,30,67.03508409999999,2,3.0,12,0.0003,0.0009683966636657715,0.005615920107810979,0.9788826704025269,0.2,1205.33056640625,-4.192593574523926,0.00016861559,0.0,2,3085.5731201171875,,
,40,,,,,0.0003,0.0025942325592041016,0.0004621028841942376,0.9787859320640564,0.2,180.39788818359375,-4.192385196685791,2.8300286e-05,0.0,3,887.3621063232422,94.3944320678711,4.0
4,40,47.88336153333332,1,2.6,23,,,,,,,,,,,,,
5,50,45.37293261111112,1,2.6666666666666665,26,0.0003,-0.008804917335510254,3.600716518192826e-05,0.9786553382873535,0.2,354.3280334472656,-4.192042589187622,0.00014618636,0.0,4,471.2864227294922,,
6,60,44.541852500000005,1,2.5,31,0.0003,-0.014423727989196777,-0.003546267841011197,0.9785701036453247,0.2,1247.7105712890625,-4.1917009353637695,0.00014674664,0.0,5,1702.5558776855469,,
7,70,47.60462977777779,1,2.5555555555555554,35,0.0003,-0.0039446353912353516,0.003990733530372381,0.9785903692245483,0.2,177.13961791992188,-4.19147253036499,0.00013394952,0.0,6,966.9855804443359,,
,80,,,,,0.0003,-0.0006313323974609375,0.0002701461489778012,0.9786620140075684,0.2,1327.6322021484375,-4.191622495651245,4.8196318e-05,0.0,7,4221.9046630859375,-7.335144996643066,2.0
8,80,51.389636566666674,1,2.6333333333333333,42,,,,,,,,,,,,,
9,90,48.956107323529416,1,2.6470588235294117,46,0.0003,-0.0015506744384765625,-0.0032547474838793278,0.9787211418151855,0.2,832.2598876953125,-4.191818475723267,4.359484e-05,0.0,8,1917.4317016601562,,
10,100,47.949247026315795,1,2.6315789473684212,50,0.0003,-0.007238864898681641,-0.0015512168407436633,0.9787793159484863,0.2,1343.486572265625,-4.191998243331909,5.3954125e-05,0.0,9,2911.8353271484375,,
11,110,47.986023525,2,2.7,53,0.0003,0.007832527160644531,0.0011278986698020077,0.9788131713867188,0.2,969.2142944335938,-4.192154169082642,3.6215784e-05,0.0,10,1524.2550048828125,,
