time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/std,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/loss,train/clip_range,train/explained_variance,train/value_loss,eval/mean_reward,eval/mean_ep_length
10,5,1,9.9539612,1,1.8,,,,,,,,,,,,,
20,9,2,39.26896375,2,2.375,0.978414893,0.0003,-4.191442728,0.00379411,1,0.000140065,0,265.4104004,0.2,-0.004081011,520.3309021,,
30,13,3,31.8902904,2,2.6,0.978177965,0.0003,-4.190928459,0.003330684,2,2.03E-05,0,4203.089844,0.2,0.001657963,6877.717041,,
40,,,,,,0.977852583,0.0003,-4.190077782,-0.006937766,3,0.000154561,0,47.26344299,0.2,-0.004124522,119.6392479,45.47548008,4
40,22,4,26.859515,1,2.6,,,,,,,,,,,,,
50,24,5,27.31720817,2,2.777777778,0.977710247,0.0003,-4.189223051,-0.008593917,4,0.000232071,0,396.3585205,0.2,-0.007655501,675.3290405,,
60,28,6,33.79485338,2,2.857142857,0.977577329,0.0003,-4.188800812,0.005801594,5,0.000192523,0,1171.870361,0.2,0.013364017,1324.519714,,
70,46,7,37.0516424,1,2.8,0.977465808,0.0003,-4.188412666,0.003299212,6,8.18E-05,0,1302.823853,0.2,-0.00080657,4251.222778,,
80,,,,,,0.977374315,0.0003,-4.188085794,0.001235053,7,1.52E-05,0,3327.317383,0.2,0.005426466,5385.54541,18.88757706,3
80,54,8,38.17145661,1,2.821428571,,,,,,,,,,,,,
90,58,9,42.46300603,1,2.903225806,0.977268875,0.0003,-4.187819242,0.003569776,8,6.08E-05,0,62.55910873,0.2,-0.003453612,1417.56039,,
100,90,10,36.05515167,1,2.722222222,0.977151334,0.0003,-4.187468052,-0.003338236,9,6.64E-05,0,2153.814209,0.2,-0.009278059,7933.305664,,
110,95,11,35.5322525,1,2.619047619,0.977016091,0.0003,-4.187106133,0.001193041,10,1.85E-05,0,264.7015381,0.2,-0.008664608,851.9979248,,
120,,,,,,0.97688663,0.0003,-4.186677694,0.002376223,11,2.37E-05,0,2109.522217,0.2,0.00279665,2143.500553,-5,1
120,101,12,33.69701823,1,2.553191489,,,,,,,,,,,,,
130,104,13,34.09004414,1,2.6,0.976794422,0.0003,-4.186310768,-0.001001537,12,3.11E-05,0,488.2094727,0.2,-0.002442002,599.5307236,,
140,107,14,35.1562183,1,2.58490566,0.976687789,0.0003,-4.186012983,-0.001080453,13,4.25E-05,0,1822.485718,0.2,-0.008463383,1917.611282,,
150,112,15,38.04160481,1,2.586206897,0.976601958,0.0003,-4.185703516,-0.001629937,14,5.18E-06,0,5463.800781,0.2,0.004722416,11636.81543,,
160,,,,,,0.976514697,0.0003,-4.185439825,0.002344978,15,1.68E-05,0,706.7965698,0.2,-0.000765085,2024.894775,189.8887291,5
160,146,16,37.44865363,1,2.532258065,,,,,,,,,,,,,
170,151,17,36.7615743,1,2.537313433,0.976441383,0.0003,-4.18518424,0.000192106,16,8.76E-06,0,626.6714478,0.2,-0.000541091,2763.069031,,
180,153,18,41.1729151,1,2.608695652,0.976383924,0.0003,-4.184957504,-0.00061394,17,9.47E-06,0,265.3390503,0.2,0.005407453,294.907526,,
190,199,19,41.96811015,0,2.61971831,0.976347625,0.0003,-4.184812069,-0.004097819,18,3.68E-05,0,9386.814453,0.2,3.30E-05,14270.43457,,
200,,,,,,0.976317286,0.0003,-4.18470788,6.53E-05,19,1.04E-05,0,4186.601074,0.2,-0.000556111,7820.384766,23.89839935,2
200,207,20,42.97861334,0,2.618421053,,,,,,,,,,,,,
210,210,21,45.38992779,0,2.653846154,0.976298213,0.0003,-4.184625149,-3.67E-05,20,9.27E-06,0,300.2164001,0.2,0.000649273,760.987854,,
220,303,22,46.93213589,0,2.682926829,0.97627759,0.0003,-4.184565067,-0.002619147,21,1.93E-05,0,5464.334473,0.2,-0.000309467,8868.816162,,
230,307,23,46.08747656,0,2.643678161,0.976265132,0.0003,-4.184509516,-0.000440848,22,4.74E-06,0,2259.295654,0.2,-0.009229064,5461.23999,,
240,,,,,,0.976269364,0.0003,-4.18447566,-0.000325602,23,4.98E-06,0,543.4213867,0.2,0.002079189,2041.968567,107.424757,5
240,318,24,46.54155839,0,2.651685393,,,,,,,,,,,,,
250,321,25,48.7226525,0,2.684782609,0.976289928,0.0003,-4.184509754,0.000409073,24,3.14E-06,0,2882.209473,0.2,-0.010654449,6270.44751,,
260,326,26,49.90330711,0,2.680412371,0.976309419,0.0003,-4.184573889,0.000242776,25,2.33E-06,0,6330.058594,0.2,-0.002874374,20828.28369,,
270,329,27,48.0508634,0,2.68,0.976326466,0.0003,-4.184630156,-0.000363415,26,3.39E-06,0,1880.158813,0.2,0.003146708,5243.998657,,
280,,,,,,0.976320624,0.0003,-4.184668064,-0.000922319,27,2.15E-05,0,121.1576996,0.2,0.015282571,366.4700165,14.9965744,3
280,339,28,49.9592915,0,2.75,,,,,,,,,,,,,
290,342,29,51.6138559,0,2.8,0.976309478,0.0003,-4.18464613,0.00023647,28,4.65E-06,0,2183.4104,0.2,-0.00255394,3992.090454,,
300,346,30,50.46590909,0,2.78,0.976298332,0.0003,-4.184614182,-0.000527742,29,4.23E-06,0,1570.499878,0.2,0.006353498,3863.283447,,
310,349,31,51.44423074,0,2.76,0.976280212,0.0003,-4.184573174,-0.000647211,30,8.73E-06,0,164.5675049,0.2,0.008251727,880.5349884,,
320,,,,,,0.976263523,0.0003,-4.184516191,0.000697321,31,1.16E-06,0,1183.330688,0.2,-0.001476645,3064.17395,7.641337395,2
320,358,32,50.32378069,0,2.72,,,,,,,,,,,,,
330,362,33,49.31410185,0,2.7,0.976280868,0.0003,-4.184472084,0.001111758,32,3.13E-06,0,48.48026657,0.2,0.008338034,90.47175217,,
340,365,34,47.73419277,0,2.66,0.976276755,0.0003,-4.184528351,0.001749516,33,2.15E-05,0,1424.208374,0.2,-0.004654765,1529.75695,,
350,370,35,47.46593534,0,2.61,0.976269364,0.0003,-4.184512854,-0.000544316,34,3.46E-06,0,2381.994873,0.2,0.003374636,4221.157349,,
360,,,,,,0.97625488,0.0003,-4.184488535,0.000958806,35,1.06E-05,0,4505.675293,0.2,-0.000663042,6539.462646,221.8374681,5
360,426,36,48.5738388,0,2.63,,,,,,,,,,,,,
370,429,37,52.1426091,0,2.69,0.976248026,0.0003,-4.18445158,0.002234483,36,1.35E-05,0,2759.223389,0.2,2.68E-05,4742.668457,,
380,435,38,52.9458317,0,2.71,0.976241767,0.0003,-4.184432983,-0.001412261,37,5.95E-06,0,2368.853271,0.2,-0.00714457,3696.183228,,
390,437,39,53.86699231,0,2.73,0.976228714,0.0003,-4.18441391,-0.000221807,38,5.79E-06,0,625.6211548,0.2,0.007678688,4617.950439,,
400,,,,,,0.976216018,0.0003,-4.184364319,0.000639564,39,1.05E-05,0,2480.308594,0.2,0.004148006,3892.265747,18.80944085,5
400,450,40,54.73708846,0,2.79,,,,,,,,,,,,,
410,499,41,57.4531908,0,2.87,0.976296127,0.0003,-4.1843431,0.000871074,40,1.34E-05,0,173.9481354,0.2,-0.015013218,1057.254684,,
420,558,42,56.41188466,0,2.84,0.976427317,0.0003,-4.184695244,0.001121053,41,3.63E-05,0,7643.921387,0.2,0.001268983,10485.12573,,
430,561,43,54.16434361,0,2.82,0.976530433,0.0003,-4.185078621,0.002645618,42,2.42E-05,0,1114.963623,0.2,-0.00221622,1533.304901,,
440,,,,,,0.976620853,0.0003,-4.185384989,0.002278543,43,8.39E-06,0,4764.271973,0.2,-0.0015769,6169.778931,-5,1
440,735,44,54.46127073,0,2.84,,,,,,,,,,,,,
450,788,45,54.91311388,0,2.81,0.976700544,0.0003,-4.185643911,-0.000925446,44,7.32E-06,0,72.8059845,0.2,0.059491336,147.099823,,
460,826,46,52.75497603,0,2.78,0.976779342,0.0003,-4.185893059,-0.001232588,45,7.65E-06,0,2351.800293,0.2,-0.001890421,5265.747803,,
470,829,47,51.71742201,0,2.79,0.976853848,0.0003,-4.186133862,0.000535658,46,2.63E-06,0,566.0615845,0.2,-0.005442739,1416.325439,,
480,,,,,,0.976926446,0.0003,-4.186362267,0.000691059,47,1.96E-06,0,509.3063049,0.2,-0.01069057,1348.739685,90.67045593,3
480,838,48,53.99623257,0,2.82,,,,,,,,,,,,,
490,842,49,52.73823896,0,2.8,0.976989985,0.0003,-4.186580896,7.91E-05,48,7.69E-07,0,4154.477539,0.2,0.00111419,10747.22705,,
500,846,50,53.1460186,0,2.78,0.977035701,0.0003,-4.186762333,-1.74E-05,49,5.25E-07,0,2706.580078,0.2,0.003889382,3913.904541,,
510,849,51,53.46921555,0,2.8,0.977072418,0.0003,-4.186897039,0.000576335,50,1.84E-06,0,4447.191895,0.2,0.002430081,10827.40674,,
520,,,,,,0.977094591,0.0003,-4.187000513,-1.43E-05,51,6.32E-07,0,830.697937,0.2,0.003596306,2435.74762,234.399334,5
520,857,52,55.77510872,0,2.87,,,,,,,,,,,,,
530,862,53,51.46553845,0,2.76,0.977108955,0.0003,-4.187059402,0.000109947,52,6.68E-07,0,4814.410156,0.2,-0.002710104,8871.996582,,
540,866,54,53.31027593,0,2.8,0.977123201,0.0003,-4.187106609,0.000288981,53,1.43E-07,0,1308.124512,0.2,-0.00596118,2526.579956,,
550,920,55,52.87371861,0,2.71,0.977132201,0.0003,-4.187145472,5.33E-05,54,1.49E-07,0,2187.856445,0.2,0.009762228,4065.294189,,
560,,,,,,0.977126718,0.0003,-4.187163591,0.000128126,55,5.42E-07,0,1014.388245,0.2,0.002491236,2059.354309,83.66749477,5
560,930,56,51.06380622,0,2.64,,,,,,,,,,,,,
570,935,57,49.76740512,0,2.65,0.977115393,0.0003,-4.187139034,-0.000138515,56,1.85E-07,0,1683.569458,0.2,0.009623408,4779.447632,,
580,939,58,51.14300316,0,2.63,0.977095783,0.0003,-4.187116385,0.000495285,57,4.97E-06,0,134.2540436,0.2,-0.019110799,321.9003143,,
590,996,59,52.83057353,0,2.68,0.977057815,0.0003,-4.187018871,-0.000891513,58,3.41E-05,0,575.8082886,0.2,0.007600784,839.4089966,,
600,,,,,,0.97702539,0.0003,-4.186912298,0.001021337,59,8.90E-06,0,1046.893066,0.2,0.006673634,1945.69635,158.1446075,4
600,1004,60,52.75353797,0,2.67,,,,,,,,,,,,,
610,1057,61,53.68253373,0,2.72,0.976991832,0.0003,-4.186814308,0.001646709,60,2.40E-05,0,1486.202515,0.2,-0.013294816,2257.618286,,
620,1061,62,50.81346504,0,2.7,0.976964235,0.0003,-4.186707258,0.001499534,61,4.95E-06,0,493.4692078,0.2,0.010949254,628.8804016,,
630,1065,63,51.61707962,0,2.76,0.976962745,0.0003,-4.186649323,0.004388368,62,3.74E-05,0,108.6709976,0.2,0.017268777,371.8122177,,
640,,,,,,0.976965547,0.0003,-4.186648369,0.00012362,63,1.78E-06,0,991.9522095,0.2,-0.040805817,2165.091003,87.42648888,5
640,1075,64,47.00332774,0,2.67,,,,,,,,,,,,,
650,1078,65,47.98557223,0,2.72,0.977073133,0.0003,-4.186749458,0.00109306,64,7.47E-06,0,127.6771774,0.2,-0.011930943,248.0722427,,
660,1082,66,48.42335437,0,2.69,0.977159977,0.0003,-4.18705368,0.000198537,65,2.26E-06,0,1569.176514,0.2,-0.007001996,2484.869324,,
670,1087,67,45.84390653,0,2.61,0.977232635,0.0003,-4.187307596,-0.000939938,66,1.51E-06,0,5048.606934,0.2,-0.015350103,5970.031677,,
680,,,,,,0.977294803,0.0003,-4.187518358,-0.000211355,67,1.50E-06,0,93.32000732,0.2,0.005562484,1620.777336,160.9130592,5
680,1098,68,44.94838481,0,2.6,,,,,,,,,,,,,
690,1105,69,42.6565404,0,2.52,0.977319181,0.0003,-4.187674522,-0.002083492,68,2.83E-05,0,1098.143677,0.2,0.008088887,1298.312988,,
700,1108,70,44.34150536,0,2.57,0.977327526,0.0003,-4.187736988,-0.001348591,69,4.36E-05,0,135.4971466,0.2,0.015630245,223.045311,,
710,1124,71,44.13117809,0,2.6,0.977336586,0.0003,-4.187757254,-0.00116266,70,3.10E-05,0,1614.695068,0.2,0.013439178,2290.16925,,
720,,,,,,0.97735852,0.0003,-4.187777281,-0.003450555,71,7.06E-05,0,551.28479,0.2,-0.031456828,1284.40979,144.2906876,4
720,1134,72,43.54259104,0,2.59,,,,,,,,,,,,,
730,1186,73,40.97301613,0,2.52,0.977383554,0.0003,-4.187855244,0.001605028,72,3.23E-05,0,1369.488037,0.2,0.019119084,4818.963867,,
740,1190,74,43.43663224,0,2.57,0.977399945,0.0003,-4.187925577,-0.003796387,73,3.87E-05,0,1462.094482,0.2,0.01138407,2108.368591,,
750,1195,75,44.25984989,0,2.6,0.977409959,0.0003,-4.187963247,0.001098853,74,3.02E-06,0,4030.289307,0.2,-0.009438038,5820.697266,,
760,,,,,,0.97742027,0.0003,-4.187992811,0.000658816,75,1.63E-06,0,1549.875854,0.2,-0.005759239,3789.184814,-10,2
760,1203,76,43.13032081,0,2.62,,,,,,,,,,,,,
770,1208,77,40.67101057,0,2.56,0.977414012,0.0003,-4.188012838,-0.000517231,76,4.28E-06,0,571.5717163,0.2,0.003076494,1077.728088,,
780,1210,78,38.59746025,0,2.53,0.977434516,0.0003,-4.187995434,-0.000588697,77,5.95E-06,0,250.0921326,0.2,0.005662024,628.9178009,,
790,1262,79,41.14919759,0,2.6,0.977464378,0.0003,-4.18807435,0.002264643,78,1.66E-05,0,1751.830688,0.2,-0.013417602,5448.321533,,
