eval/mean_reward,time/total_timesteps,eval/mean_ep_length,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/value_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/std,train/clip_range,train/learning_rate,train/loss,train/approx_kl,,,
-1.938248873,40,3,,,,,,,,,,,,,,,,,,,
,40,,42,0,1,22.54584376,1.80952381,,,,,,,,,,,,,,
-5,80,1,,,,,,9074.307545,-4.204073012,1,-0.00493598,0.125000004,0.002332374,0.98276031,0.2,0.0003,495.4515991,0.011646544,,,
,80,,81,0,2,17.41018216,1.860465116,,,,,,,,,,,,,,
171.4258661,120,4,,,,,,2283.393024,-4.203671515,2,0.00399065,0,0.01093287,0.982617974,0.2,0.0003,4052.002686,0.000379665,,,
,120,,118,1,3,23.74139435,1.846153846,,,,,,,,,,,,,,
87.22871399,160,3,,,,,,8282.30541,-4.203983665,3,-0.006698489,0,-0.000252031,0.982857466,0.2,0.0003,110.7193527,0.000958566,,,
,160,,181,0,4,18.29286926,1.736263736,,,,,,,,,,,,,,
15.57234049,200,3,,,,,,833.9741173,-4.204200625,4,-0.014080524,0,0.013588156,0.982745886,0.2,0.0003,757.6116943,0.001900418,,,
,200,,238,0,5,16.36771911,1.72,,,,,,,,,,,,,,
-15,240,3,,,,,,2298.531969,-4.203261614,5,-0.030453444,0.050000001,-0.019091915,0.982307911,0.2,0.0003,2821.339111,0.00445085,,,
,240,,313,0,6,19.75002664,1.81,,,,,,,,,,,,,,
66.16819286,280,5,,,,,,3547.114964,-4.202414691,6,-0.004807472,0,0.009688995,0.982119679,0.2,0.0003,1271.554443,0.001236247,,,
,280,,341,0,7,20.24658127,1.83,,,,,,,,,,,,,,
30.00409079,320,4,,,,,,2168.641228,-4.201367676,7,-0.027496457,0,-0.00412875,0.981357753,0.2,0.0003,279.4234619,0.000669709,,,
,320,,372,0,8,15.11528524,1.92,,,,,,,,,,,,,,
-5,360,1,,,,,,484.1141319,-4.198310375,8,-0.054730654,0.075000001,0.025342002,0.980386913,0.2,0.0003,181.4601746,0.004295859,,,
,360,,442,0,9,19.1430464,2.06,,,,,,,,,,,,,,
28.39758682,400,2,,,,,,4718.580957,-4.195847392,9,-0.017760992,0,-0.014198259,0.979824901,0.2,0.0003,145.7723694,0.001180689,,,
,400,,468,0,10,23.63955954,2.12,,,,,,,,,,,,,,
7.675101042,440,3,,,,,,8104.568672,-4.194813371,10,-0.006992102,0.025,0.009606928,0.979677439,0.2,0.0003,3765.009033,0.002555453,,,
,440,,808,0,11,27.22847524,2.2,,,,,,,,,,,,,,
271.0440216,480,5,,,,,,3255.62405,-4.194280088,11,-0.01715529,0,-0.007747729,0.979421496,0.2,0.0003,1299.976563,0.00101333,,,
,480,,837,0,12,29.45744239,2.27,,,,,,,,,,,,,,
200.800792,520,5,,,,,,3848.36602,-4.193243861,12,-0.021898389,0,-0.009527153,0.978996396,0.2,0.0003,2155.398926,0.001341126,,,
,520,,866,0,13,37.94908804,2.24,,,,,,,,,,,,,,
-5,560,1,,,,,,14733.05907,-4.191885591,13,-0.006801605,0,-0.004178594,0.978560627,0.2,0.0003,9520.174805,0.000758538,,,
,560,,928,0,14,40.48508022,2.21,,,,,,,,,,,,,,
262.4848862,600,5,,,,,,1602.995285,-4.190689564,14,-0.009872079,0,-0.005804694,0.978276372,0.2,0.0003,377.8716431,0.000356403,,,
,600,,952,0,15,42.55814266,2.27,,,,,,,,,,,,,,
369.6399918,640,5,,,,,,7108.275146,-4.190189958,15,-0.022537589,0,-0.002193572,0.978223026,0.2,0.0003,3322.912354,0.000626442,,,
,640,,984,0,16,46.93396281,2.24,,,,,,,,,,,,,,
223.1709986,680,5,,,,,,21251.53162,-4.190130055,16,-0.008920431,0,-0.000116432,0.978238583,0.2,0.0003,9993.77832,0.000110249,,,
,680,,1008,0,17,51.13781033,2.22,,,,,,,,,,,,,,
-5,720,1,,,,,,12364.2149,-4.190152705,17,0.003296435,0,-0.001421545,0.978226662,0.2,0.0003,6638.607422,0.000211592,,,
,720,,1036,0,18,50.37209226,2.28,,,,,,,,,,,,,,
-5,760,1,,,,,,2590.185226,-4.190269768,18,-0.0022223,0,0.000574836,0.978326797,0.2,0.0003,1496.102783,7.42E-05,,,
,760,,1061,0,19,58.6643405,2.34,,,,,,,,,,,,,,
140.7568216,800,5,,,,,,27363.92574,-4.190696537,19,-0.004929304,0,0.005061379,0.97856164,0.2,0.0003,27751.90039,0.000420943,,,
,800,,1093,0,20,60.19344954,2.39,,,,,,,,,,,,,,
27.8779068,840,2,,,,,,4739.648346,-4.191255927,20,0.002120018,0,0.007020867,0.978645027,0.2,0.0003,198.3239288,0.000409338,,,
,840,,1146,0,21,52.29100118,2.23,,,,,,,,,,,,,,
-4.834431767,880,4,,,,,,5629.895126,-4.191388488,21,-0.006643414,0,-0.003740683,0.978610396,0.2,0.0003,269.5383911,0.000427303,,,
,880,,1202,0,22,41.77172813,2.11,,,,,,,,,,,,,,
-5,920,1,,,,,,2576.626259,-4.190723896,22,-0.014072657,0,0.014562748,0.978249729,0.2,0.0003,264.6665039,0.002507997,,,
,920,,1335,0,23,37.99552283,2.01,,,,,,,,,,,,,,
266.0314674,960,5,,,,,,4608.656898,-4.189812243,23,-0.002980709,0,0.002814859,0.978039503,0.2,0.0003,1145.07251,0.000440176,,,
,960,,1636,0,24,35.00057565,2.07,,,,,,,,,,,,,,
172.3944359,1000,4,,,,,,14634.72557,-4.189330876,24,0.00745225,0,-0.00157671,0.977953136,0.2,0.0003,11958.77734,0.000155002,,,
,1000,,1665,0,25,36.43984138,2.1,,,,,,,,,,,,,,
43.13607121,1040,5,,,,,,7933.187622,-4.189189672,25,-0.01251626,0,-0.00122843,0.977943361,0.2,0.0003,2205.65332,5.38E-05,,,
,1040,,1697,0,26,36.90759377,2.11,,,,,,,,,,,,,,
-0.976180077,1080,3,,,,,,3312.868736,-4.189236283,26,0.001529872,0,-0.000182128,0.977975547,0.2,0.0003,254.5900726,0.000164776,,,
,1080,,1738,0,27,43.15744876,2.23,,,,,,,,,,,,,,
38.22480774,1120,2,,,,,,6874.055473,-4.189312696,27,0.002627552,0,-0.002005969,0.978006721,0.2,0.0003,2433.349121,4.32E-05,,,
,1120,,1763,0,28,50.22606561,2.29,,,,,,,,,,,,,,
151.1138272,1160,5,,,,,,10851.52962,-4.189346611,28,-0.021348715,0,-0.00077934,0.977959394,0.2,0.0003,4124.913574,7.58E-05,,,
,1160,,1793,0,29,52.57251397,2.34,,,,,,,,,,,,,,
237.6977143,1200,4,,,,,,7163.979843,-4.189040542,29,-0.011236191,0,0.00215063,0.977831066,0.2,0.0003,781.1740723,0.000471723,,,
,1200,,1824,0,30,39.6202839,2.21,,,,,,,,,,,,,,
12.05862045,1240,4,,,,,,4007.46859,-4.188664258,30,-0.014402747,0,-0.002376591,0.977734923,0.2,0.0003,1941.707642,0.000125816,,,
,1240,,1897,0,31,33.48497619,2.13,,,,,,,,,,,,,,
-5,1280,1,,,,,,800.1419525,-4.188345373,31,-0.00851357,0,0.003965116,0.977665365,0.2,0.0003,235.3478851,0.000103115,,,
,1280,,1926,0,32,28.10069754,2.03,,,,,,,,,,,,,,
217.3572483,1320,5,,,,,,2236.54915,-4.188452542,32,-0.020768166,0,-0.002524525,0.977783859,0.2,0.0003,379.9234924,0.001522869,,,
,1320,,1950,0,33,34.7687401,2.1,,,,,,,,,,,,,,
38.37765652,1360,5,,,,,,23330.52917,-4.188721597,33,-0.003169537,0,0.005717659,0.977803409,0.2,0.0003,21805.03125,0.000615209,,,
