eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/loss,train/clip_range,train/std
5.0,176.8691864013672,40,,,,,,,,,,,,,,,,
,,40,2.7142857142857144,1,45.96459228571428,0,62,,,,,,,,,,,
5.0,141.65363311767578,80,,,,,,1,-0.005897164344787598,-4.203617095947266,0.07500000111758709,0.0003,-0.003917279927918571,3235.9372634887695,0.0049375254,341.29461669921875,0.2,0.9826926589012146
,,80,3.08,2,83.95198244000001,0,81,,,,,,,,,,,
5.0,243.2806396484375,120,,,,,,2,0.00412595272064209,-4.204052925109863,0.0,0.0003,0.004725844878703533,16376.331115722656,0.001791419,9471.345703125,0.2,0.9828746318817139
,,120,2.8780487804878048,3,77.41043439024389,1,104,,,,,,,,,,,
5.0,296.48231506347656,160,,,,,,3,-0.005994439125061035,-4.204997181892395,0.05000000074505806,0.0003,-0.0013656853639987254,8154.039138793945,0.0035477488,5540.73291015625,0.2,0.9833657145500183
,,160,2.9074074074074074,4,80.48234766666667,1,122,,,,,,,,,,,
2.0,20.78643226623535,200,,,,,,4,0.01832503080368042,-4.20583838224411,0.0,0.0003,-0.01282024242827895,8915.656646728516,0.00076655595,6047.681640625,0.2,0.9833164215087891
,,200,2.857142857142857,5,81.28742954285714,1,186,,,,,,,,,,,
3.0,89.49615669250488,240,,,,,,5,-0.00999760627746582,-4.205372989177704,0.0,0.0003,-0.005648320005275487,12830.751220703125,0.0007090837,6076.6611328125,0.2,0.983197808265686
,,240,2.8333333333333335,6,81.80926442857142,0,245,,,,,,,,,,,
3.0,8.869552373886108,280,,,,,,6,0.006634771823883057,-4.205445885658264,0.0,0.0003,-0.0012809782347176224,14605.97427368164,0.0008425727,3847.545166015625,0.2,0.9833102226257324
,,280,2.8469387755102042,7,82.44815676530611,1,265,,,,,,,,,,,
5.0,406.9063529968262,320,,,,,,7,0.006461679935455322,-4.2044976353645325,0.02500000037252903,0.0003,-0.003148417733609632,4813.43635559082,0.0029948368,2696.083251953125,0.2,0.9825540781021118
,,320,2.92,8,90.31818887,1,283,,,,,,,,,,,
2.0,22.41062355041504,360,,,,,,8,-0.007379412651062012,-4.202684998512268,0.0,0.0003,0.00262891383026731,11497.791625976562,0.0004609421,5003.6708984375,0.2,0.9822055697441101
,,360,2.82,9,87.44605093999999,0,360,,,,,,,,,,,
1.0,-5.0,400,,,,,,9,0.0027507543563842773,-4.201923251152039,0.0,0.0003,0.0027102752326755297,17315.8154296875,0.00018868447,4126.1484375,0.2,0.9820303916931152
,,400,2.77,10,85.17703688,1,376,,,,,,,,,,,
4.0,144.5911521911621,440,,,,,,10,-0.014567136764526367,-4.201625823974609,0.02500000037252903,0.0003,-0.015615996684209654,7910.285484313965,0.001129985,5847.447265625,0.2,0.982132077217102
,,440,2.81,11,88.54919018000001,1,396,,,,,,,,,,,
2.0,73.02069091796875,480,,,,,,11,-0.008664727210998535,-4.20205545425415,0.10000000149011612,0.0003,-0.011870449176058173,10260.773551940918,0.0054782853,505.78314208984375,0.2,0.9822098612785339
,,480,2.8,12,86.13636191000002,1,439,,,,,,,,,,,
5.0,404.8377456665039,520,,,,,,12,-0.001746535301208496,-4.201977074146271,0.02500000037252903,0.0003,0.002456723840441377,8078.172443389893,0.0028457255,225.31875610351562,0.2,0.9821657538414001
,,520,2.84,13,88.7702946,0,525,,,,,,,,,,,
5.0,255.25641250610352,560,,,,,,13,-0.011832237243652344,-4.202261388301849,0.0,0.0003,-0.00572504000738272,15616.476684570312,0.00041967927,4165.56884765625,0.2,0.9823641180992126
,,560,2.85,14,91.83218002999998,1,542,,,,,,,,,,,
4.0,107.19485092163086,600,,,,,,14,-0.0073424577713012695,-4.202555894851685,0.0,0.0003,-0.0020115596009417924,14359.063232421875,0.00015043169,7234.62548828125,0.2,0.9823613166809082
,,600,2.92,15,95.44053636000001,1,561,,,,,,,,,,,
5.0,269.5977735519409,640,,,,,,15,0.006944477558135986,-4.202471911907196,0.0,0.0003,-0.005867900795419656,11627.727310180664,0.0004261017,6903.68359375,0.2,0.9823386669158936
,,640,2.83,16,89.2201653,1,625,,,,,,,,,,,
5.0,206.4106101989746,680,,,,,,16,0.021710872650146484,-4.202211141586304,0.05000000074505806,0.0003,-0.02350196162005891,10279.895721435547,0.004290691,8807.5634765625,0.2,0.9821714758872986
,,680,2.82,17,88.71119115000002,1,645,,,,,,,,,,,
5.0,18.7038311958313,720,,,,,,17,-0.010997295379638672,-4.201443254947662,0.05000000074505806,0.0003,0.005172701389528633,6673.868705749512,0.0030918822,5858.20458984375,0.2,0.9817848205566406
,,720,2.79,18,85.13850674000001,1,669,,,,,,,,,,,
1.0,-5.0,760,,,,,,18,-0.004755854606628418,-4.200188457965851,0.0,0.0003,0.0039488896072725765,9541.180938720703,0.0016404629,10699.037109375,0.2,0.981498122215271
,,760,2.82,19,88.80961625,1,691,,,,,,,,,,,
4.0,85.08499145507812,800,,,,,,19,-0.014685750007629395,-4.199294030666351,0.0,0.0003,-0.0006268755358176392,16737.791229248047,0.0008426085,19966.8359375,0.2,0.9810988306999207
,,800,2.7,20,82.36155815000001,1,775,,,,,,,,,,,
4.0,85.55378460884094,840,,,,,,20,0.016937553882598877,-4.197866380214691,0.0,0.0003,0.011094662027608115,8230.274276733398,0.00032691658,5347.50732421875,0.2,0.9806422591209412
,,840,2.65,21,77.67037438999999,0,884,,,,,,,,,,,
2.0,13.265520095825195,880,,,,,,21,-0.005045890808105469,-4.1965848207473755,0.0,0.0003,-0.0038011625088985035,8399.29946899414,0.0003518298,3961.391845703125,0.2,0.9803580641746521
,,880,2.51,22,66.53668306,0,905,,,,,,,,,,,
5.0,364.0280456542969,920,,,,,,22,0.0044269561767578125,-4.196258306503296,0.15000000223517418,0.0003,-0.0012071006291080044,2394.6032333374023,0.006227027,405.03021240234375,0.2,0.9804679751396179
,,920,2.57,23,72.95911292000001,0,1017,,,,,,,,,,,
2.0,-5.906303226947784,960,,,,,,23,-0.005003571510314941,-4.196707010269165,0.0,0.0003,-0.0027011559781385808,12320.276672363281,0.0002965212,836.1597900390625,0.2,0.9805654883384705
,,960,2.52,24,71.00016452999999,0,1190,,,,,,,,,,,
2.0,33.775325775146484,1000,,,,,,24,-0.02668774127960205,-4.196753740310669,0.0,0.0003,-0.006769071819144323,7070.744903564453,0.0013667911,637.8626098632812,0.2,0.9805278182029724
,,1000,2.61,25,82.19962428000001,0,1207,,,,,,,,,,,
4.0,138.81976699829102,1040,,,,,,25,-0.011577606201171875,-4.196540534496307,0.05000000074505806,0.0003,-0.0029552935156971216,13352.611419677734,0.005698422,8255.515625,0.2,0.9804341793060303
,,1040,2.59,26,76.45449354000002,0,1227,,,,,,,,,,,
4.0,203.34841918945312,1080,,,,,,26,-0.03242313861846924,-4.196263372898102,0.0,0.0003,-0.0011408170976210386,3554.873779296875,0.0007081121,2560.22265625,0.2,0.9803468585014343
,,1080,2.53,27,75.16763467,0,1246,,,,,,,,,,,
5.0,303.33048248291016,1120,,,,,,27,0.010202527046203613,-4.19598263502121,0.0,0.0003,-0.010920854390133128,10824.586303710938,0.0016346022,9527.7109375,0.2,0.9802817702293396
,,1120,2.63,28,83.73467226000001,0,1264,,,,,,,,,,,
5.0,342.57840728759766,1160,,,,,,28,0.01709383726119995,-4.195568561553955,0.0,0.0003,0.004349155112868153,11848.934478759766,0.000494349,2242.666748046875,0.2,0.9801629781723022
,,1160,2.69,29,92.05960753000004,0,1282,,,,,,,,,,,
3.0,82.27695846557617,1200,,,,,,29,-0.01463460922241211,-4.195298492908478,0.0,0.0003,-0.010744333761977032,14959.2568359375,0.001299715,7118.37353515625,0.2,0.9801238775253296
,,1200,2.58,30,85.59955579000001,0,1300,,,,,,,,,,,
5.0,213.7466583251953,1240,,,,,,30,-0.0005394220352172852,-4.195060193538666,0.0,0.0003,-0.0018388422206043753,6108.562454223633,0.0004183054,5826.28759765625,0.2,0.9800413846969604
,,1240,2.66,31,90.11683421000002,0,1320,,,,,,,,,,,
3.0,-15.0,1280,,,,,,31,0.021236777305603027,-4.1947402358055115,0.0,0.0003,0.0009293861920014468,6995.205978393555,0.0002489418,2529.492919921875,0.2,0.9799071550369263
,,1280,2.54,32,78.73672778999999,0,1371,,,,,,,,,,,
2.0,50.069183349609375,1320,,,,,,32,-0.026493072509765625,-4.194246292114258,0.0,0.0003,0.00551176312728785,3715.8864364624023,0.0008736372,548.7755126953125,0.2,0.9798495173454285
,,1320,2.63,33,86.82686425000001,0,1387,,,,,,,,,,,
2.0,22.77313232421875,1360,,,,,,33,0.026771068572998047,-4.194363236427307,0.0,0.0003,0.0067908937373430955,14370.203155517578,0.0004497275,6199.74609375,0.2,0.9799729585647583
,,1360,2.71,34,91.88984517,0,1447,,,,,,,,,,,
5.0,344.43428802490234,1400,,,,,,34,0.003886878490447998,-4.194566190242767,0.0,0.0003,-0.0034716145080893046,10537.423263549805,0.00010613948,3833.0185546875,0.2,0.9800270795822144
,,1400,2.64,35,90.72878870999999,0,1502,,,,,,,,,,,
4.0,103.99190711975098,1440,,,,,,35,-0.008054733276367188,-4.194158554077148,0.10000000149011612,0.0003,0.01265800391556704,21654.109283447266,0.007908109,24922.697265625,0.2,0.9796600341796875
,,1440,2.65,36,89.36037041,0,1521,,,,,,,,,,,
5.0,229.496244430542,1480,,,,,,36,0.005373358726501465,-4.193098723888397,0.0,0.0003,0.005605283258046434,14828.820770263672,0.0012193769,4454.3017578125,0.2,0.9794071912765503
,,1480,2.71,37,92.43964312,0,1540,,,,,,,,,,,
5.0,176.61912727355957,1520,,,,,,37,-0.028723597526550293,-4.192315518856049,0.02500000037252903,0.0003,0.0037182252563070506,8591.680358886719,0.0021342111,1228.9031982421875,0.2,0.9790945053100586
,,1520,2.78,38,98.55539845999999,0,1576,,,,,,,,,,,
4.0,67.39949417114258,1560,,,,,,38,0.028082728385925293,-4.191244065761566,0.0,0.0003,-0.023579550674185157,15301.935485839844,0.0042880876,10535.962890625,0.2,0.9788143038749695
,,1560,2.85,39,99.95276865,0,1600,,,,,,,,,,,
5.0,236.73484420776367,1600,,,,,,39,-0.046328186988830566,-4.190288186073303,0.0,0.0003,-0.0013092398701701757,6650.081604003906,0.00047519355,2894.3232421875,0.2,0.9784717559814453
,,1600,2.79,40,96.53029628,0,1664,,,,,,,,,,,
2.0,-10.0,1640,,,,,,40,-0.00626218318939209,-4.189361572265625,0.0,0.0003,-9.489508083770914e-05,13282.73794555664,0.00014507174,8025.15087890625,0.2,0.9782537221908569
,,1640,2.82,41,100.93267856999996,0,1725,,,,,,,,,,,
4.0,128.09336471557617,1680,,,,,,41,0.003507256507873535,-4.188793182373047,0.0,0.0003,-0.002050108429830111,41441.83056640625,0.00053487864,51961.77734375,0.2,0.9781079292297363
,,1680,2.81,42,96.4726845,0,1783,,,,,,,,,,,
1.0,-5.0,1720,,,,,,42,-0.0066149234771728516,-4.188367962837219,0.0,0.0003,-0.0023825497170036902,13218.924438476562,0.00033350586,5981.189453125,0.2,0.9780303835868835
,,1720,2.77,43,88.46683680999999,0,1817,,,,,,,,,,,
5.0,338.2762222290039,1760,,,,,,43,-0.0006698369979858398,-4.188210487365723,0.0,0.0003,-0.004652539775634068,3101.640914916992,0.00020689814,1395.6712646484375,0.2,0.9779669642448425
,,1760,2.68,44,81.64669237,0,1882,,,,,,,,,,,
