time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,train/std,train/n_updates,train/learning_rate,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/value_loss,train/loss
2,294.49316246875003,9.8125,1,115,320,,,,,,,,,,,
2,255.9174964861111,8.75,2,246,640,0.996070384979248,10,0.0003,0.06937500138301403,0.005882793,-0.00557087953336115,0.2,-0.002683401107788086,-4.250737544894219,34389.06944580078,23186.119140625
2,272.01485783000004,9.14,3,336,960,0.9913606643676758,20,0.0003,0.05375000117346644,0.004183843,-0.005059793822181291,0.2,0.004175662994384766,-4.237594944238663,24756.00009765625,13837.8173828125
2,254.01137959,8.77,4,477,1280,0.9867072105407715,30,0.0003,0.08531250180676579,0.0017140384,-0.009422344222230095,0.2,0.009794890880584717,-4.22713492512703,23845.569677734376,10714.7666015625
2,264.23986834999994,9.15,5,595,1600,0.9842817187309265,40,0.0003,0.1706250030081719,0.003836726,-0.00127776356881526,0.2,-0.011925220489501953,-4.211118713021278,20048.028704833985,12032.927734375
2,227.39050405,7.89,6,815,1920,0.9829243421554565,50,0.0003,0.13968750266358257,0.00850239,-0.007203129449244017,0.2,-0.04986262321472168,-4.205321988463401,23790.26514892578,6967.05712890625
2,229.06026709999998,7.64,7,931,2240,0.9779835939407349,60,0.0003,0.07406250131316483,0.0038931973,-0.0007971737733530659,0.2,0.0002537965774536133,-4.196237727999687,23007.225817871094,13693.7060546875
2,226.52762735000005,7.34,8,1087,2560,0.973166823387146,70,0.0003,0.06250000118743629,0.007070142,-0.002277108489735724,0.2,0.025124549865722656,-4.180533078312874,24456.71896057129,12036.2578125
2,233.11082698,7.1,9,1249,2880,0.969820499420166,80,0.0003,0.1187500022817403,0.008300022,-0.008116282590054879,0.2,-0.05076956748962402,-4.170675653219223,25970.821130371092,6157.94091796875
2,257.37336455,7.49,10,1427,3200,0.9626531600952148,90,0.0003,0.14312500292435287,0.008904421,-0.012755233867494553,0.2,-0.04407811164855957,-4.152829104661942,26842.230438232422,12780.3203125
2,287.66434279000003,8.2,11,1491,3520,0.9518603086471558,100,0.0003,0.0871875019511208,0.007121343,-0.00864641606753196,0.2,-0.044745445251464844,-4.126871439814567,30587.362255859374,16815.865234375
2,314.07456276,8.99,12,1606,3840,0.9511244297027588,110,0.0003,0.0862500017741695,0.010325139,-0.0034119323924869604,0.2,0.042825937271118164,-4.105780291557312,25794.58010253906,11574.076171875
2,286.94550232999995,8.22,13,1770,4160,0.9483629465103149,120,0.0003,0.17156250341795384,0.0061513097,-0.011571035192275758,0.2,-0.04643392562866211,-4.101054129004479,35422.66234741211,20746.505859375
2,245.58941102000009,7.31,14,1904,4480,0.9448299407958984,130,0.0003,0.06937500108033419,0.01517117,-0.0047023865418481135,0.2,-0.050000667572021484,-4.089871960878372,32370.633551025392,14826.1171875
2,220.97735948999997,6.71,15,2077,4800,0.9403368830680847,140,0.0003,0.09562500121537595,0.009701473,-0.002426637981523072,0.2,-0.0005960464477539062,-4.078773021697998,20445.241989135742,12426.4365234375
2,251.18818602999997,7.24,16,2183,5120,0.9339674711227417,150,0.0003,0.06906250123865902,0.009166012,0.000978156581531664,0.2,-0.03146624565124512,-4.059553310275078,35137.00159301758,19728.90625
2,280.07171646,8.01,17,2292,5440,0.9348784685134888,160,0.0003,0.0490625009406358,0.007728002,-0.004511285328209169,0.2,-0.013946771621704102,-4.050718516111374,36423.98604125976,14708.306640625
2,320.1467266,9.16,18,2410,5760,0.9337064623832703,170,0.0003,0.04687500088475645,0.0051391916,-0.0003125736465790396,0.2,-0.020026206970214844,-4.050761014223099,29923.73214111328,23807.546875
2,334.67704203,9.85,19,2474,6080,0.9334232211112976,180,0.0003,0.00437500006519258,0.0031582117,-0.00023014718042873027,0.2,-0.06697249412536621,-4.048609781265259,38326.01040039062,20033.974609375
2,344.16209970000006,9.95,20,2590,6400,0.9334020614624023,190,0.0003,0.10000000183936208,0.0056578163,-0.00040324282296637647,0.2,-0.1023564338684082,-4.047799524664879,33921.96735839844,18786.017578125
2,302.45236825999996,8.77,21,2655,6720,0.9333728551864624,200,0.0003,0.10062500201165676,0.01047511,-0.00036579422171598706,0.2,-0.0037887096405029297,-4.047942113876343,32697.451440429686,10324.279296875
2,332.27241121,8.99,22,2719,7040,0.9284332990646362,210,0.0003,0.1615625036181882,0.0068850843,-0.0046204661421029415,0.2,-0.03287625312805176,-4.041050797700882,30229.940490722656,16018.9248046875
2,342.7862354100001,9.19,23,2817,7360,0.9284903407096863,220,0.0003,0.06843750150874257,0.0054557733,-0.0022934234218155323,0.2,-0.019690990447998047,-4.032440748810768,36581.83802490235,12869.3193359375
2,318.14943103999997,8.5,24,2907,7680,0.9306060075759888,230,0.0003,0.044062500912696125,0.0062755626,-0.003935214140005883,0.2,-0.06638681888580322,-4.035561153292656,46203.53422851562,20989.708984375
2,290.63345964,7.87,25,3035,8000,0.9253622889518738,240,0.0003,0.11656250248197467,0.0076869917,-0.012672706394096168,0.2,-0.03789973258972168,-4.032140013575554,34722.38782958985,19017.59765625
2,307.50981139,8.27,26,3127,8320,0.9243425130844116,250,0.0003,0.08468750137835741,0.008357797,-0.009493902131652021,0.2,-0.023523807525634766,-4.020541742444038,31742.035369873047,15009.5830078125
2,322.57533974,8.82,27,3254,8640,0.923412024974823,260,0.0003,0.06656250136438757,0.003188646,-0.00043358647599234246,0.2,0.04224979877471924,-4.018134739995003,32932.39010620117,11413.947265625
2,351.05698975000007,9.45,28,3410,8960,0.9205702543258667,270,0.0003,0.03281250058207661,0.002007449,-0.004913414735597144,0.2,0.015140414237976074,-4.010453662276268,32972.01498413086,14248.8076171875
2,364.1111017299999,9.66,29,3473,9280,0.9134548902511597,280,0.0003,0.08156250158790498,0.0085158665,-0.004618172054006209,0.2,0.0428195595741272,-3.9939175441861154,36578.16506347656,24051.44921875
2,356.5055954,9.31,30,3536,9600,0.9107415676116943,290,0.0003,0.08531250117812306,0.0049183876,0.0007677361917103554,0.2,-0.021981358528137207,-3.9749783843755724,38533.287377929686,11581.939453125
2,323.59411444,8.88,31,3612,9920,0.9097169637680054,300,0.0003,0.0646875012665987,0.009173375,-0.005202090041223073,0.2,-0.03917241096496582,-3.969883108139038,44933.55502929688,17220.654296875
2,347.7897190499999,9.55,32,3674,10240,0.9121806025505066,310,0.0003,0.10062500175554305,0.009104826,-0.0021759631559319812,0.2,-0.020704030990600586,-3.972286209464073,29209.332299804686,18426.88671875
