eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/std,train/approx_kl,train/loss,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/value_loss,train/entropy_loss
20.0,100,104.9392499923706,,,,,,,,,,,,,,,,
1.0,200,-5.0,,,,,,,,,,,,,,,,
4.0,300,-20.0,,,,,,,,,,,,,,,,
,320,,376,1,3.625,0,48.876029215909085,,,,,,,,,,,
2.0,400,40.46723175048828,,,,,,0.9916777014732361,0.02744063,8672.8232421875,10,0.0003,-0.027512612628706856,0.2,0.24281250406056643,0.00016993284225463867,21340.211630249025,-4.242402330040932
1.0,500,-5.0,,,,,,,,,,,,,,,,
3.0,600,96.33832168579102,,,,,,,,,,,,,,,,
,640,,1041,2,2.84,0,38.31489399,,,,,,,,,,,
14.0,700,751.987884759903,,,,,,0.9907748103141785,0.02870801,17295.26953125,20,0.0003,-0.014152121180370614,0.2,0.16500000339001417,-0.002362489700317383,20365.65026245117,-4.231805586814881
8.0,800,260.55068588256836,,,,,,,,,,,,,,,,
7.0,900,417.7220001220703,,,,,,,,,,,,,,,,
,960,,1454,3,3.73,0,119.20476766999998,,,,,,,,,,,
3.0,1000,9.345361709594727,,,,,,0.9895326495170593,0.0027584834,91466.90625,30,0.0003,-0.0033804400662745594,0.2,0.004062500060535967,-0.0013796091079711914,134381.01776123047,-4.227142968773842
17.0,1100,1331.3324241638184,,,,,,,,,,,,,,,,
2.0,1200,11.912799835205078,,,,,,,,,,,,,,,,
,1280,,1796,4,2.95,0,94.28659119,,,,,,,,,,,
7.0,1300,299.2171823978424,,,,,,0.9886494874954224,0.0064668916,13842.6806640625,40,0.0003,-0.010101331448899487,0.2,0.027812500530853868,-0.0011402368545532227,85835.83807983398,-4.224101015925408
7.0,1400,920.5779724121094,,,,,,,,,,,,,,,,
4.0,1500,323.7472496032715,,,,,,,,,,,,,,,,
7.0,1600,389.4181137084961,,,,,,,,,,,,,,,,
,1600,,2102,5,2.92,0,95.67272345999999,,,,,,,,,,,
