time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/entropy_loss,train/loss,train/clip_fraction,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/std,train/clip_range,train/explained_variance,train/learning_rate
1,-8.828174875,0,352,20.0,320,,,,,,,,,,,
2,98.2712281875,1,621,20.0,640,3155.64506816864,-4.24687830209732,3055.78759765625,0.23906250388827174,0.022961825,10,-0.016867346793733872,0.9939050674438477,0.2,0.008537054061889648,0.0003
3,148.72377260416667,1,869,20.0,960,16231.604789733887,-4.239161786437035,9099.3505859375,0.06312500108033418,0.008600818,20,-0.004663169762750385,0.9943650960922241,0.2,0.0019204020500183105,0.0003
4,202.979245953125,1,1024,20.0,1280,24331.602777099608,-4.240144556760788,13728.6103515625,0.15062500215135516,0.023357827,30,-0.017435696322517912,0.994865894317627,0.2,0.01352149248123169,0.0003
5,220.89959790000003,1,1127,20.0,1600,43371.941162109375,-4.240822604298591,12236.51171875,0.09250000182073563,0.013056014,40,-0.020325101833823567,0.9943537712097168,0.2,-0.013365387916564941,0.0003
6,277.11490744791666,1,1283,20.0,1920,30680.10548400879,-4.24089390039444,22912.107421875,0.15781250277068465,0.015736587,50,-0.016559489522319382,0.9947773814201355,0.2,0.013263285160064697,0.0003
7,356.8598261100001,1,1930,20.0,2240,79840.21328735352,-4.241185426712036,31891.587890625,0.040625000814907254,0.009892924,60,-0.011852149109108723,0.9948689341545105,0.2,0.04388725757598877,0.0003
8,412.97058854999995,1,2062,20.0,2560,69819.27199707032,-4.2413933962583545,10842.4609375,0.08406250190455467,0.01197331,70,-0.008056889344922524,0.9946605563163757,0.2,0.08199673891067505,0.0003
9,456.6515493999999,1,2223,20.0,2880,62402.25220947266,-4.239090457558632,15896.5517578125,0.05718750113155693,0.0036574942,80,-0.005922359912449338,0.9933943748474121,0.2,-0.07503736019134521,0.0003
10,504.17627198999986,1,2410,20.0,3200,45984.66948242187,-4.234656113386154,18651.84375,0.14625000306405128,0.00910922,90,-0.01330383711659806,0.9919127821922302,0.2,0.08785468339920044,0.0003
11,581.2300430299999,1,2526,20.0,3520,66289.14262695312,-4.2307190835475925,10559.6845703125,0.06625000115018338,0.008628289,100,-0.008509341528065307,0.9908406734466553,0.2,0.0531962513923645,0.0003
12,645.30391952,1,2975,20.0,3840,125117.37474365234,-4.227724355459213,28301.51171875,0.002500000037252903,0.003200704,110,0.001053243638479273,0.9900749921798706,0.2,0.05422490835189819,0.0003
13,674.9340547300001,1,3650,20.0,4160,147326.82216796876,-4.2259883165359495,67029.328125,0.014375000237487256,0.0051127616,120,-0.005205861856435945,0.9892406463623047,0.2,0.07540023326873779,0.0003
14,743.88990519,1,3881,20.0,4480,76676.09006347656,-4.222966787219048,29330.6484375,0.1271875021280721,0.011088371,130,-0.015258241831367059,0.9884771704673767,0.2,0.29062461853027344,0.0003
15,809.3524601400001,1,4108,20.0,4800,110077.87770996094,-4.218249541521073,47218.45703125,0.0575000012293458,0.0045831474,140,-0.007255166167328753,0.9859978556632996,0.2,0.10277479887008667,0.0003
16,848.41390231,1,4617,20.0,5120,125492.08671875,-4.214675331115723,37661.0859375,0.05437500113621354,0.006248773,150,-0.009552018968179254,0.9861692190170288,0.2,0.11983656883239746,0.0003
17,845.0764320300003,1,4895,20.0,5440,93834.38049316406,-4.217236551642418,50753.82421875,0.01000000019557774,0.0037672995,160,-0.002721326094297183,0.9875707626342773,0.2,0.29273277521133423,0.0003
18,928.3846105900001,1,5269,20.0,5760,88807.37733154297,-4.217357155680657,61178.10546875,0.12031250216532499,0.011380686,170,-0.015498830300839473,0.9855033755302429,0.2,0.28047895431518555,0.0003
19,940.6783009999999,1,5999,20.0,6080,189376.80966796874,-4.212568339705467,82549.28125,0.019375000358559193,0.0047360985,180,-0.007405335190924234,0.9850053191184998,0.2,0.16927653551101685,0.0003
20,957.94722663,0,6792,20.0,6400,63827.93564453125,-4.209337231516838,28671.03125,0.023750000493600966,0.004986186,190,-0.0020446547805448743,0.9835521578788757,0.2,0.5485671162605286,0.0003
21,991.7190563100002,0,7072,20.0,6720,109086.9517578125,-4.204314428567886,29595.517578125,0.08187500149942935,0.011267197,200,-0.012258491689590301,0.9820060729980469,0.2,0.3998035192489624,0.0003
