time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/entropy_loss,train/std,train/clip_fraction,train/approx_kl,train/clip_range,train/n_updates,train/loss
40,5.0,51.965248107910156,,,,,,,,,,,,,,,,
40,,,25,1,3.9,53.6070668,1,,,,,,,,,,,
80,3.0,-13.21225643157959,,,,,,0.001299440860748291,-0.040405220543107134,4007.34160990715,0.0003,-4.251803708076477,0.9959966540336609,0.3000000070780516,0.02095557,0.2,10,2615.893798828125
80,,,56,1,3.16,30.574237000000004,2,,,,,,,,,,,
120,2.0,-10.0,,,,,,0.011137604713439941,-0.008771027179172964,1068.0170651435851,0.0003,-4.243106234073639,0.9965184926986694,0.1650000024586916,0.018344324,0.2,20,56.24602127075195
120,,,216,0,3.051282051282051,27.80762551282051,3,,,,,,,,,,,
160,3.0,19.30427646636963,,,,,,-0.0014519691467285156,-0.029360573402082046,640.5422094345092,0.0003,-4.244094473123551,0.9946432113647461,0.24250000473111868,0.018323742,0.2,30,84.71484375
160,,,276,0,3.0980392156862746,38.101063627450976,4,,,,,,,,,,,
200,3.0,2.1360148191452026,,,,,,0.002546072006225586,-0.014635327886662709,6117.587214279175,0.0003,-4.237582600116729,0.9934510588645935,0.0875000013038516,0.007662751,0.2,40,673.036376953125
200,,,394,0,3.046153846153846,32.890608276923075,5,,,,,,,,,,,
240,3.0,83.73118591308594,,,,,,0.037350356578826904,-0.011403869798732558,563.4040771484375,0.0003,-4.230894005298614,0.9891510009765625,0.1325000025331974,0.0039439127,0.2,50,312.2621765136719
240,,,421,0,3.103896103896104,38.09919472727273,6,,,,,,,,,,,
280,1.0,-5.0,,,,,,-0.023409128189086914,-0.026342082151095392,5718.038199234009,0.0003,-4.2218043327331545,0.9881062507629395,0.0725000012665987,0.011868842,0.2,60,2160.230224609375
280,,,723,0,3.0434782608695654,37.18795705434782,7,,,,,,,,,,,
320,5.0,74.52218103408813,,,,,,-0.0029909610748291016,-0.012316438444595401,1249.316428565979,0.0003,-4.2133536577224735,0.9831509590148926,0.08750000167638064,0.005250819,0.2,70,223.7989501953125
320,,,794,0,2.92,33.23143826,8,,,,,,,,,,,
