time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/std,train/entropy_loss,train/n_updates,train/clip_range,train/learning_rate,train/value_loss,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss
40,-22.432041883468628,5.0,,,,,,,,,,,,,,,,
40,,,1,1,3.25,-7.5282911666666665,22,,,,,,,,,,,
80,57.513155460357666,4.0,,,,,,0.9913685321807861,-4.242587769031525,10,0.2,0.0003,103.96954343318939,0.29250000678002835,82.61784362792969,0.03014812,-0.03932011127471924,-0.04616683110463782
80,,,2,1,3.347826086956522,-5.840423304347827,43,,,,,,,,,,,
120,0.6879462003707886,4.0,,,,,,0.9842955470085144,-4.219495224952698,20,0.2,0.0003,239.37369784116746,0.23750000521540643,33.05724334716797,0.007435155,-0.008885502815246582,-0.02637976471218737
120,,,3,1,3.0,-3.903697666666667,117,,,,,,,,,,,
160,-5.147521495819092,3.0,,,,,,0.9809986352920532,-4.2045369923114775,30,0.2,0.0003,55.76464104652405,0.24250000566244126,7.106283187866211,0.02628529,-0.015053749084472656,-0.031443910057423634
160,,,4,1,2.981132075471698,-4.748843226415095,139,,,,,,,,,,,
200,-10.699881553649902,5.0,,,,,,0.9770911931991577,-4.192648392915726,40,0.2,0.0003,49.6654927611351,0.25500000510364773,9.101483345031738,0.016835114,0.04564309120178223,-0.02058931728592146
200,,,5,1,2.985074626865672,-3.4879569701492543,163,,,,,,,,,,,
240,-10.0,2.0,,,,,,0.9757593870162964,-4.184047311544418,50,0.2,0.0003,199.34608521461487,0.2300000049173832,4.516392230987549,0.0338234,-0.03524041175842285,-0.01971571747650156
240,,,6,1,2.8452380952380953,-3.222780583333333,232,,,,,,,,,,,
280,-16.391136169433594,4.0,,,,,,0.9699954986572266,-4.170711052417755,60,0.2,0.0003,55.72093477547169,0.2825000066310167,8.213193893432617,0.011646706,0.04749780893325806,-0.03215477339806057
280,,,7,1,2.865979381443299,-2.120121237113402,256,,,,,,,,,,,
320,24.974225997924805,5.0,,,,,,0.9659194946289062,-4.1601726651191715,70,0.2,0.0003,260.4104120016098,0.047500000707805155,175.41586303710938,0.0065587685,0.0034154653549194336,-0.004928427609847857
320,,,8,1,2.95,-1.4846900599999997,277,,,,,,,,,,,
360,6.6952905356884,3.0,,,,,,0.9631097316741943,-4.14654832482338,80,0.2,0.0003,425.7900775313377,0.14750000312924386,11.54220962524414,0.018666532,0.0014143586158752441,-0.0040516823499274325
360,,,9,1,2.78,-0.6335951699999999,301,,,,,,,,,,,
400,21.197330236434937,5.0,,,,,,0.9610780477523804,-4.140755206346512,90,0.2,0.0003,580.3076303958893,0.2425000060349703,26.419614791870117,0.024314262,-0.013036966323852539,-0.03655006260720256
400,,,10,1,2.86,1.8336991500000004,322,,,,,,,,,,,
440,-10.0,2.0,,,,,,0.9593873023986816,-4.1349712908267975,100,0.2,0.0003,379.9739031791687,0.07000000104308128,184.80715942382812,0.0137417605,0.0019031167030334473,-0.011666176342987455
440,,,11,1,2.88,2.5599870499999993,343,,,,,,,,,,,
480,-15.0,3.0,,,,,,0.9579916000366211,-4.128656959533691,110,0.2,0.0003,140.87114987373351,0.1100000023841858,37.70649719238281,0.020343432,0.006856143474578857,-0.02147430303324658
480,,,12,1,2.85,5.46606946,365,,,,,,,,,,,
