time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/clip_fraction,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/std,train/clip_range,train/n_updates
40,38.53235626220703,2.0,,,,,,,,,,,,,,,,
40,,,1,0,2.1052631578947367,42,-2.0972708421052637,,,,,,,,,,,
80,7.189886093139648,2.0,,,,,,0.15500000286847354,0.004137217998504639,0.0003,-0.00693247284994869,133.67914959490298,222.32765197753906,-4.259509134292602,0.011978047,1.00107741355896,0.2,10
80,,,2,1,2.0256410256410255,75,1.3676281794871794,,,,,,,,,,,
120,-3.073026657104492,4.0,,,,,,0.14250000286847353,0.021453559398651123,0.0003,-0.0040062846600267266,1344.715957120061,61.21261215209961,-4.261950010061264,0.027234998,1.0016725063323975,0.2,20
120,,,3,1,2.0689655172413794,110,1.5895425,,,,,,,,,,,
160,114.5647201538086,5.0,,,,,,0.14500000309199096,-0.017149925231933594,0.0003,-0.019390636298194285,391.20819172859194,11.862452507019043,-4.257224488258362,0.016389757,0.9985367655754089,0.2,30
160,,,4,1,2.0657894736842106,147,1.9662589210526316,,,,,,,,,,,
200,1.597433090209961,4.0,,,,,,0.2950000062584877,0.005168795585632324,0.0003,-0.04535992818782688,353.1142676115036,44.59526824951172,-4.2557214319705965,0.017414058,1.0010961294174194,0.2,40
200,,,5,1,2.127659574468085,182,1.3574494574468083,,,,,,,,,,,
240,-5.0,1.0,,,,,,0.12000000216066838,0.005241215229034424,0.0003,-0.02051414139408734,159.38734731674194,37.814613342285156,-4.259079623222351,0.008168621,1.0000290870666504,0.2,50
240,,,6,1,2.0,223,1.2560096500000002,,,,,,,,,,,
280,-5.0,1.0,,,,,,0.23250000476837157,0.007961750030517578,0.0003,-0.015316113613152993,110.95584563612938,3.4254679679870605,-4.251593852043152,0.009693205,0.9967548251152039,0.2,60
280,,,7,0,1.81,293,-1.3223712799999998,,,,,,,,,,,
320,37.97403168678284,5.0,,,,,,0.27500000651925804,-0.024642586708068848,0.0003,-0.035895888300719894,180.432589751482,4.5528130531311035,-4.248239225149154,0.02586349,0.998407781124115,0.2,70
320,,,8,0,1.75,390,-1.3318528,,,,,,,,,,,
360,-5.889380574226379,3.0,,,,,,0.2575000053271651,0.0440601110458374,0.0003,-0.015831635369977448,43.90920789986849,16.972585678100586,-4.244340789318085,0.026255433,0.993489146232605,0.2,80
360,,,9,0,1.75,422,-1.3395020400000002,,,,,,,,,,,
400,4.740293502807617,3.0,,,,,,0.27250000555068254,0.023355543613433838,0.0003,-0.038031869946644294,779.3365296185017,148.04495239257812,-4.228505742549896,0.016671387,0.9891890287399292,0.2,90
400,,,10,0,1.79,514,0.7496827199999996,,,,,,,,,,,
440,-10.0,2.0,,,,,,0.20000000428408385,0.009616196155548096,0.0003,-0.006177854774959979,1179.0502336382865,13.719432830810547,-4.221136277914047,0.021380953,0.9876923561096191,0.2,100
440,,,11,0,1.84,549,0.8386598899999994,,,,,,,,,,,
480,42.92329549789429,5.0,,,,,,0.12250000219792127,0.023605644702911377,0.0003,-0.0222940436342288,62.64999049305916,11.598445892333984,-4.204990804195404,0.00790821,0.9784269332885742,0.2,110
480,,,12,0,1.94,581,4.3119745,,,,,,,,,,,
520,52.66157150268555,5.0,,,,,,0.1875000039115548,0.014108896255493164,0.0003,-0.0022494686546997043,2438.2396388292314,396.64129638671875,-4.185243225097656,0.01381438,0.9770863056182861,0.2,120
520,,,13,0,2.02,642,9.04503055,,,,,,,,,,,
560,136.44240140914917,5.0,,,,,,0.08750000149011612,0.0036289095878601074,0.0003,0.00027122754909214564,2717.0143107414247,1213.7740478515625,-4.184870493412018,0.008694211,0.9766972064971924,0.2,130
560,,,14,0,2.08,680,11.71990331,,,,,,,,,,,
600,47.58929443359375,3.0,,,,,,0.07500000130385161,0.006233870983123779,0.0003,-0.01939487222436582,6011.242176628113,124.42938995361328,-4.182925200462341,0.01842319,0.975946843624115,0.2,140
600,,,15,0,2.0,714,15.38602462,,,,,,,,,,,
640,-5.0,1.0,,,,,,0.0675000013783574,-0.0020040273666381836,0.0003,-0.008598062318487787,3469.5050925254823,177.2752685546875,-4.17905844449997,0.014666306,0.9745256900787354,0.2,150
640,,,16,0,1.95,752,19.08179269,,,,,,,,,,,
680,197.77475929260254,5.0,,,,,,0.007500000111758709,-0.007007122039794922,0.0003,-0.006314813329954627,3412.169278907776,1515.2391357421875,-4.176113086938858,0.0063848095,0.9739052653312683,0.2,160
680,,,17,0,1.89,857,22.676388679999995,,,,,,,,,,,
720,-10.0,2.0,,,,,,0.06500000096857547,0.002619922161102295,0.0003,-0.013448538001607613,13295.775178718566,35276.80859375,-4.173607248067856,0.0117011955,0.9728302359580994,0.2,170
720,,,18,0,1.85,964,21.94861395,,,,,,,,,,,
760,41.5800895690918,2.0,,,,,,0.08000000137835742,0.002032041549682617,0.0003,-0.011943251812044763,3249.6404769897463,4938.78076171875,-4.170364052057266,0.0082704015,0.9720250964164734,0.2,180
760,,,19,0,1.77,999,17.716567530000003,,,,,,,,,,,
800,-15.0,3.0,,,,,,0.19750000424683095,-0.007907867431640625,0.0003,-0.019154774851995172,1219.6631536483765,980.9827270507812,-4.164775043725967,0.026094137,0.9698840379714966,0.2,190
800,,,20,0,1.78,1040,18.015951079999997,,,,,,,,,,,
840,18.635723114013672,2.0,,,,,,0.020000000298023225,0.01493746042251587,0.0003,-0.00960350018558529,4190.273123550415,249.99041748046875,-4.16085832118988,0.0065917587,0.968845009803772,0.2,200
840,,,21,0,1.86,1076,14.51384215,,,,,,,,,,,
880,-5.0,1.0,,,,,,0.07000000104308128,0.003375530242919922,0.0003,-0.003765206892130668,2602.3727823257445,241.51177978515625,-4.159844064712525,0.007032116,0.9690224528312683,0.2,210
880,,,22,0,1.89,1115,15.238276700000002,,,,,,,,,,,
920,46.16364049911499,3.0,,,,,,0.06500000096857547,-0.008404374122619629,0.0003,-0.013676677556868522,3170.059520530701,842.0841674804688,-4.158123731613159,0.011631422,0.9678192138671875,0.2,220
920,,,23,0,1.87,1228,17.93952872,,,,,,,,,,,
960,149.19897961616516,5.0,,,,,,0.0825000012293458,-0.013954401016235352,0.0003,-0.0127248235656225,4023.330707550049,3345.03271484375,-4.153387171030045,0.018925052,0.9661190509796143,0.2,230
960,,,24,0,1.86,1309,20.883685670000006,,,,,,,,,,,
1000,15.416454076766968,4.0,,,,,,0.07500000149011612,0.0194740891456604,0.0003,-0.019087755989895074,2931.215782928467,1148.6104736328125,-4.148927599191666,0.0093965195,0.9650961756706238,0.2,240
1000,,,25,0,1.92,1345,25.066678940000003,,,,,,,,,,,
1040,51.850318908691406,2.0,,,,,,0.057500000856816766,-0.030312299728393555,0.0003,-0.0020586194177667494,5488.798468780517,1215.6239013671875,-4.145487362146378,0.005913223,0.9641410708427429,0.2,250
1040,,,26,0,1.81,1385,24.90710529,,,,,,,,,,,
1080,231.93028926849365,5.0,,,,,,0.03250000085681677,0.005190551280975342,0.0003,-0.010731020954881387,7432.61449508667,1505.419189453125,-4.145100420713424,0.011758599,0.9647290110588074,0.2,260
1080,,,27,0,1.74,1442,21.60852864,,,,,,,,,,,
1120,14.554576992988586,5.0,,,,,,0.020000000298023225,0.0013118982315063477,0.0003,-0.0004418081430958232,1664.5411262512207,647.1830444335938,-4.14645591378212,0.005214311,0.9650065302848816,0.2,270
1120,,,28,0,1.76,1480,18.69419961,,,,,,,,,,,
1160,48.04729080200195,2.0,,,,,,0.052500000782310964,0.03244972229003906,0.0003,-0.0020840756362844105,1219.8923315048219,1421.808837890625,-4.147187799215317,0.008283821,0.9654672145843506,0.2,280
1160,,,29,0,1.82,1530,21.017279019999997,,,,,,,,,,,
1200,-5.0,1.0,,,,,,0.2750000054016709,-0.029401302337646484,0.0003,-0.019149213930213592,2039.4649227142334,517.5653686523438,-4.146907132863999,0.048406594,0.964192271232605,0.2,290
1200,,,30,0,1.85,1613,20.09830658,,,,,,,,,,,
1240,43.50655508041382,4.0,,,,,,0.01750000026077032,-0.005008339881896973,0.0003,0.003337117284027036,5452.3860523223875,431.76824951171875,-4.14374669790268,0.003961712,0.9634501338005066,0.2,300
1240,,,31,0,1.86,1655,14.695538079999999,,,,,,,,,,,
1280,-3.8160669803619385,2.0,,,,,,0.19500000383704902,-0.11103355884552002,0.0003,-0.005747397822387934,660.8650821685791,126.18409729003906,-4.144300919771195,0.017865397,0.9648782014846802,0.2,310
1280,,,32,0,1.87,1710,11.482946750000002,,,,,,,,,,,
1320,-5.0,1.0,,,,,,0.1675000036135316,-0.04918372631072998,0.0003,0.0014621836668084142,205.3011943936348,11.204608917236328,-4.140856122970581,0.014998464,0.9603134989738464,0.2,320
1320,,,33,0,1.89,1749,11.21984994,,,,,,,,,,,
1360,-5.0,1.0,,,,,,0.1350000027567148,0.03016519546508789,0.0003,-0.013969766246009385,3388.6430873930453,6163.48974609375,-4.122047394514084,0.010548163,0.9559397101402283,0.2,330
1360,,,34,0,1.85,1793,11.308946379999998,,,,,,,,,,,
1400,56.11136817932129,3.0,,,,,,0.11250000186264515,0.026239991188049316,0.0003,-0.011930908081412773,7430.925025701523,39.18165588378906,-4.114873933792114,0.017640833,0.954508900642395,0.2,340
1400,,,35,0,1.95,1828,12.3677367,,,,,,,,,,,
1440,-5.0,1.0,,,,,,0.47500001061707736,-0.014067649841308594,0.0003,0.013467839090299093,1800.0438627243043,922.7364501953125,-4.111932891607284,0.028556634,0.9547268152236938,0.2,350
1440,,,36,0,1.96,1879,16.3016591,,,,,,,,,,,
1480,87.82755756378174,3.0,,,,,,0.10750000197440386,0.016396045684814453,0.0003,-0.017354712605811073,4057.074612236023,4792.556640625,-4.110780602693557,0.01189008,0.9537461996078491,0.2,360
1480,,,37,0,2.14,1905,31.288587070000002,,,,,,,,,,,
1520,111.1792221069336,2.0,,,,,,0.20500000454485418,0.0033008456230163574,0.0003,-0.018892134999041455,29387.50250892639,7342.98828125,-4.108268529176712,0.022219932,0.9531522989273071,0.2,370
1520,,,38,0,2.21,1937,44.10715656,,,,,,,,,,,
1560,-5.0,1.0,,,,,,0.032500000484287736,0.017030835151672363,0.0003,-0.01231647518369755,20176.353559112547,792.3189697265625,-4.107715964317322,0.008269642,0.9532588720321655,0.2,380
1560,,,39,0,2.05,1975,38.44780718,,,,,,,,,,,
1600,298.01772022247314,5.0,,,,,,0.0700000012293458,-0.08218324184417725,0.0003,-0.018545474278930652,1246.8759315490722,453.4227600097656,-4.107303947210312,0.013255392,0.9529439210891724,0.2,390
1600,,,40,0,2.14,2066,49.07752703,,,,,,,,,,,
1640,213.36631774902344,4.0,,,,,,0.012500000186264515,0.011478304862976074,0.0003,-0.009069841366799647,15394.493041992188,16231.2587890625,-4.106018495559693,0.003568861,0.9525935053825378,0.2,400
1640,,,41,0,2.18,2095,54.81763337,,,,,,,,,,,
1680,149.4486312866211,5.0,,,,,,0.052500000782310964,-0.012276172637939453,0.0003,-0.014370937973253594,13519.45802001953,2175.584716796875,-4.105682837963104,0.01171316,0.9527249336242676,0.2,410
1680,,,42,0,2.16,2124,54.65192704000001,,,,,,,,,,,
1720,210.95500946044922,3.0,,,,,,0.047500000707805155,-0.029370427131652832,0.0003,-0.010135642326786187,14662.753889465332,967.4161376953125,-4.104584109783173,0.013704006,0.9518591165542603,0.2,420
1720,,,43,0,2.12,2153,56.658835400000015,,,,,,,,,,,
1760,-5.0,1.0,,,,,,0.12750000264495612,-0.029781103134155273,0.0003,-0.02811692892108795,7939.899263000489,2988.947265625,-4.1030762672424315,0.017251201,0.9520657062530518,0.2,430
1760,,,44,0,2.22,2179,62.23449366,,,,,,,,,,,
