time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/fps,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/value_loss,train/clip_fraction,train/std
1,-2.2452401451612904,320,5.145161290322581,231,1,,,,,,,,,,,
2,-4.21079553,640,4.45,373,1,0.2,396.8466491699219,-7.653236389160156e-05,0.01971168,-0.024142852211475586,0.0003,10,-11.341064330935477,711.8860136032105,0.20937500416766852,0.9990408420562744
3,-2.4560254900000005,960,4.42,1314,0,0.2,281.78155517578125,0.00038874149322509766,0.017974492,-0.01786019750206407,0.0003,20,-11.315812614560127,402.4709573984146,0.23281250500585884,0.9936505556106567
4,1.0052863999999997,1280,4.83,1627,0,0.2,669.94970703125,0.00011438131332397461,0.031854022,-0.016459650345450428,0.0003,30,-11.301385289430618,595.7935126900672,0.19937500392552465,0.9948704242706299
5,2.36733865,1600,4.66,2095,0,0.2,70.69144439697266,0.0006192326545715332,0.00807073,-0.012436444316662687,0.0003,40,-11.29802356660366,1496.9093675851823,0.16562500328291208,0.9928478002548218
6,-0.6722756900000004,1920,4.81,2294,0,0.2,1897.0050048828125,0.0008685588836669922,0.011574754,-0.008079770079802984,0.0003,50,-11.295527097582816,1198.7101217985153,0.1278125026030466,0.9934511184692383
7,-2.9882295000000005,2240,3.96,3549,0,0.2,382.2142028808594,0.0016072988510131836,0.013309703,-0.020658342541608476,0.0003,60,-11.272302651405335,450.8674111247063,0.2112500041956082,0.9879196882247925
8,10.272904389999999,2560,4.82,4009,0,0.2,215.6015167236328,0.0009681582450866699,0.012730679,-0.011873943300479084,0.0003,70,-11.229038155078888,608.2187403798104,0.2537500048056245,0.9820393323898315
9,10.540443589999997,2880,4.68,4123,0,0.2,261.6222839355469,0.004632472991943359,0.012070287,-0.01246083451599631,0.0003,80,-11.209416428208351,1436.0259627223015,0.12375000265892595,0.9842297434806824
10,5.49065913,3200,4.55,4395,0,0.2,1227.3829345703125,0.0007053017616271973,0.0083089,-0.004960121670305994,0.0003,90,-11.197986847162246,1057.151276063919,0.1037500019883737,0.9778748750686646
11,12.27236534,3520,4.52,4729,0,0.2,530.3668212890625,0.0004032254219055176,0.013898791,-0.014867460892946837,0.0003,100,-11.206950828433037,629.1373094439507,0.23781250468455256,0.9874328374862671
12,15.746189020000001,3840,4.68,4853,0,0.2,668.3760375976562,0.004139363765716553,0.008320995,-0.004850027839734139,0.0003,110,-11.243603193759919,1619.739075756073,0.11875000221189111,0.986907958984375
13,14.119148639999999,4160,4.97,5225,0,0.2,1050.0257568359375,0.0009029507637023926,0.010085437,-0.008447212570463592,0.0003,120,-11.235266330838204,2113.1881242752074,0.21593750468455256,0.9859458208084106
14,16.37263772,4480,4.8,8533,0,0.2,853.9444580078125,0.000598609447479248,0.029115919,-0.01108976604620011,0.0003,130,-11.222041422128678,1214.6055387973786,0.18093750388361513,0.9823726415634155
15,15.77889669,4800,4.04,8770,0,0.2,1885.3848876953125,0.001524209976196289,0.0057618446,-0.005076654210114384,0.0003,140,-11.190448927879334,2168.3272191047668,0.14406250268220902,0.979657769203186
16,5.09771364,5120,4.25,8872,0,0.2,207.22515869140625,0.0021225810050964355,0.018129356,-0.00481210100111582,0.0003,150,-11.183761084079743,2149.5844271659853,0.15593750295229256,0.9807246923446655
17,18.08072564,5440,5.23,9031,0,0.2,2227.311767578125,0.006123065948486328,0.010871192,-0.005601476493797009,0.0003,160,-11.186708584427834,1837.8158497333527,0.10125000206753612,0.9794858694076538
18,19.282506269999995,5760,4.65,9548,0,0.2,345.6910705566406,0.0213545560836792,0.0067377924,-0.008566945125630809,0.0003,170,-11.181406080722809,3121.155829524994,0.11843750227708369,0.9809427857398987
19,23.969179390000004,6080,4.78,9663,0,0.2,2333.51708984375,0.008505105972290039,0.018022528,-0.012473112946727483,0.0003,180,-11.177032044529915,1748.8210546970367,0.19937500364612787,0.9780629873275757
20,27.94043531,6400,4.7,9808,0,0.2,474.77337646484375,0.007261753082275391,0.014417935,-0.007677575751563382,0.0003,190,-11.158672076463699,4615.182660388947,0.13531250299420208,0.9757752418518066
21,24.62884274,6720,4.32,10364,0,0.2,242.4936065673828,-0.002172112464904785,0.010539554,-0.011670732431508669,0.0003,200,-11.132318636775016,1153.7591516971588,0.1525000031106174,0.9734598398208618
22,20.40534404,7040,4.26,10474,0,0.2,1023.4609985351562,0.013668656349182129,0.014344284,-0.0023262629115698985,0.0003,210,-11.120064249634742,1816.1244771003724,0.21218750413972884,0.9717186689376831
23,25.787051719999994,7360,4.38,10605,0,0.2,1615.3958740234375,0.008726716041564941,0.011784349,-0.0063599023511415,0.0003,220,-11.099761772155762,1819.2089222431182,0.1765625033993274,0.9684051275253296
24,33.636775459999996,7680,4.61,10959,0,0.2,3002.155029296875,0.036198318004608154,0.0126302745,-0.009468785831407445,0.0003,230,-11.082127445936203,2904.7693376541138,0.16000000333879144,0.9668644666671753
25,30.991713339999997,8000,4.84,11118,0,0.2,926.5211181640625,0.014645636081695557,0.01058442,-0.006487401492579892,0.0003,240,-11.075329899787903,3635.114109992981,0.1215625025331974,0.9675382971763611
26,38.781907030000006,8320,5.55,11961,0,0.2,509.2463073730469,0.002093672752380371,0.021010635,-0.0015434890934045598,0.0003,250,-11.066124007105827,1973.7097555160522,0.22906250392552466,0.9650839567184448
27,45.89796354,8640,5.83,12165,0,0.2,1574.0360107421875,0.01727348566055298,0.008087437,-0.01020121495365629,0.0003,260,-11.061946046352386,3559.9600208282473,0.15562500385567546,0.9667356014251709
28,32.62287816,8960,5.04,12498,0,0.2,2694.189208984375,-0.00012624263763427734,0.016323436,0.009535948070538324,0.0003,270,-11.076866120100021,3094.734910202026,0.24937500490341336,0.968671441078186
29,26.942264570000003,9280,4.34,12608,0,0.2,1773.4703369140625,0.0014885663986206055,0.006426668,-0.00340027153858502,0.0003,280,-11.076701128482819,3107.2431135177612,0.09656250190455466,0.9671205878257751
30,36.69616913,9600,4.91,12709,0,0.2,3377.26953125,0.029334843158721924,0.017312367,-0.011898693183685794,0.0003,290,-11.067985373735429,3148.041788291931,0.1590625036507845,0.9670013785362244
31,36.11599887,9920,4.92,12860,0,0.2,4774.9775390625,0.046167075634002686,0.009929048,-0.007047554372002196,0.0003,300,-11.06475505232811,4587.846521568298,0.11937500259373338,0.9660261869430542
32,36.60661775,10240,5.22,13140,0,0.2,493.38983154296875,0.027009427547454834,0.01200994,-0.017061294319989883,0.0003,310,-11.065487867593765,2161.138171672821,0.16343750313390046,0.9664073586463928
33,44.88987547999999,10560,5.57,13449,0,0.2,1739.365234375,-0.003475666046142578,0.01362246,-0.005005223635006395,0.0003,320,-11.064481884241104,2717.3327700614927,0.09562500214669853,0.9667431116104126
34,46.76920575,10880,5.28,14449,0,0.2,1382.733154296875,-0.010387659072875977,0.03103675,0.003348723677106591,0.0003,330,-11.05909369289875,2782.8334075927733,0.2606250051641837,0.9617854952812195
35,38.08416711999999,11200,4.87,14565,0,0.2,1861.9539794921875,-0.0015363693237304688,0.014316967,-0.00280237319990988,0.0003,340,-10.974171331524849,2622.5520277023315,0.23531250413507224,0.9493619203567505
36,41.19928251,11520,5.01,15224,0,0.2,1231.314697265625,5.257129669189453e-05,0.017409785,-0.0007208818886397239,0.0003,350,-10.93491409122944,1946.681324863434,0.26781250522471967,0.9527080059051514
37,44.28501130000001,11840,4.95,15332,0,0.2,3436.728759765625,0.015360474586486816,0.00707227,-0.0077578570546165794,0.0003,360,-10.941458150744438,4138.400169754028,0.09812500185798853,0.9505366086959839
38,43.717498410000005,12160,5.02,15439,0,0.2,843.26171875,0.005979776382446289,0.025648564,-0.0009181133166748622,0.0003,370,-10.925957483053207,2514.3950503349306,0.11062500216066837,0.9484462141990662
39,42.80022918999999,12480,4.73,15550,0,0.2,3774.0625,0.010236680507659912,0.016879655,-0.007572615892195244,0.0003,380,-10.897910532355308,3766.316568374634,0.1356250028591603,0.9435346126556396
40,36.068579750000005,12800,4.63,15657,0,0.2,1206.9912109375,0.01024395227432251,0.011262856,-0.008089548995226892,0.0003,390,-10.859555730223656,3121.3146953582764,0.155000003403984,0.9415724277496338
41,39.860060999999995,13120,4.79,15752,0,0.2,998.016357421875,0.014806687831878662,0.015668886,-0.008559873959833908,0.0003,400,-10.841251453757286,3342.5958757400513,0.15281250323168932,0.9390502572059631
42,44.071650520000006,13440,5.27,15930,0,0.2,630.58251953125,0.013943612575531006,0.018005382,-0.013321124718051181,0.0003,410,-10.829890844225883,2654.8469791412354,0.18031250347848982,0.939374566078186
43,43.24988185,13760,5.4,16598,0,0.2,1174.712646484375,0.027165234088897705,0.011123333,-0.002431579409187634,0.0003,420,-10.8427998483181,4024.411636352539,0.14125000259373338,0.9410597085952759
44,51.51546741999999,14080,5.58,17156,0,0.2,577.8775634765625,0.026436924934387207,0.0126548465,-0.000948436532848973,0.0003,430,-10.846469202637673,3988.753776550293,0.22812500391155482,0.9413076639175415
45,52.28700240999999,14400,5.06,17248,0,0.2,1543.017578125,0.012975335121154785,0.014505537,-0.013936000247701941,0.0003,440,-10.838949701189994,3890.167621231079,0.19281250429339708,0.938951849937439
46,59.475628029999996,14720,5.66,17667,0,0.2,1131.678466796875,0.018523991107940674,0.014360539,-0.009456725591993375,0.0003,450,-10.82376750409603,7164.746582221985,0.14125000294297935,0.9375478029251099
47,64.54949127,15040,6.03,17773,0,0.2,2267.41162109375,0.022135436534881592,0.0091293175,-0.006484630843652894,0.0003,460,-10.818441423773766,4654.488597106933,0.1462500029243529,0.9376188516616821
48,54.679407469999994,15360,5.55,19068,0,0.2,763.10205078125,0.0011317133903503418,0.020437596,-0.00285396700488576,0.0003,470,-10.831053492426872,4721.423991012573,0.27031250481959435,0.9416061043739319
49,55.29943435,15680,5.76,19516,0,0.2,1387.2381591796875,0.0023621320724487305,0.009354132,0.014789113807040621,0.0003,480,-10.834368607401847,3450.370199584961,0.3415625057183206,0.9405831098556519
50,59.78962562000001,16000,5.96,20546,0,0.2,2777.257568359375,0.008565783500671387,0.014042198,-0.0006753900866527829,0.0003,490,-10.836427980661393,4380.075191497803,0.17937500369735063,0.9387952089309692
51,56.36040491,16320,5.56,20702,0,0.2,1753.4453125,0.003319263458251953,0.015053671,-0.01240630796005462,0.0003,500,-10.81406103372574,3992.0691516876223,0.18281250367872418,0.9358093738555908
52,61.39828306999999,16640,5.71,21146,0,0.2,1521.7467041015625,0.03615468740463257,0.008619554,-0.005771960477540005,0.0003,510,-10.784452682733535,5431.51526260376,0.10687500219792127,0.9327863454818726
53,63.430512039999996,16960,5.88,21411,0,0.2,3630.41162109375,0.009199142456054688,0.011364723,0.022645426936594503,0.0003,520,-10.779091143608094,6280.775376129151,0.37156250511761757,0.9334741830825806
54,44.25788194,17280,5.04,21720,0,0.2,1987.843505859375,0.0037901997566223145,0.014805755,-0.0045323246624136004,0.0003,530,-10.790298911929131,5212.635581207275,0.08937500193715095,0.9363266825675964
55,48.52867365000001,17600,5.04,22661,0,0.2,1648.277587890625,0.01799631118774414,0.010882321,-0.003032161559713131,0.0003,540,-10.800370904803277,3791.8069175720216,0.07687500168103725,0.9358023405075073
56,64.82187744999999,17920,5.93,22765,0,0.2,1822.64208984375,0.03821510076522827,0.009339514,-0.00045676388626816335,0.0003,550,-10.787411823868752,5539.403204917908,0.09312500192318111,0.9330176115036011
57,66.83058889,18240,6.05,22865,0,0.2,2588.7080078125,0.0037841796875,0.013442767,0.0024833692557194808,0.0003,560,-10.780509468913078,5459.706672286988,0.11562500232830644,0.9345534443855286
